gulong	wheel / to roll
pasukan	school period/year
kantahan	singing together
timbangan	a weighing scale
orasan	clock or watch
kasulatan	correspondent or penpal
kaklase	classmate
katumbas	something of equal value
kasisigaw/kakasigaw	continuous shouting
kainan	restaurant/cafe; eating together
bilihin	goods to buy
aralin	studies
kapuluan	island archipelago
kabukiran	fields
bukid	field
kabundukan	mountain range
bundok	mountain
kabataan	youth/youthfulness
kagandahan	beauty
kabaitan	kindness
kaligayahan/ligaya	happiness
kalungkutan/lungkot	sadness
mag-ama	father and child
mag-ina	mother and child
mag-anak	family (parents with children)
mag-asawa	husband and wife
magkapatid	two siblings
magkaklase	two classmates
mag-aama	father and children
maglolola	grandmother and grandkids
magkakaklase	3+ classmates
magbabalut	balut vendor
nagnanakaw	thief, robber
nakaw	something stolen
magbobote	bottle collector
magsasaka	farmer
saka	tilling, farming
manggagamot	doctor
gamot	medicine
mangingisda	fisherman
mamamayan	citizen (rt. bayan)
manlalaro	player
padalA	something ordered
pagawA	a task or requested action
regalo	a gift
paaralan	school
pagawaan	factory
pagandahan	beauty contest
pataasan	contest of highest score/jump, etc
pagbasa	reading
paglakad	walking
pag-alis	leaving
pag-asa	hope
pag-ibig	love
pag-aaral	repeated/habitual studying
pagsisikap	effort
pagkasabi/pagkAkasabi	having said, how something was said
maliwanag	bright, explicit, clear (as in speaking)
liwanag	light, shine
pakikisama	companionship, getting along, consideration
pakikiisa	solidarity (rt. isa)
pakikipag-	an action performed with someone
pakikipag-away	fighting with someone
pakikipag-usap	talking with someone
pambalot	something used to wrap
panggagamot	the practice of medicine
panganganak	giving birth
tag-ulan	rainy season
tag-init	summer, hot season
tag-araw	summer
tagaprobinsya	person from the province
tagaluto/tagapagluto	a cook/chef
tatabantay/tagapagbantay	a guard or watcher
bantay	guarding/watching
tagapangisda	someone who fishes
bahay-bahayan	a playhouse, or playing house
tatay-tatayan	stepfather
dalA	carried, brought
dalhAn	to bring
dalhIn	to carry, bring, deliver
ipadalA	to send, deliver
ipagdalA	to carry for someone
magdalA	to carry, bring
padalhAn	to send to someone
pagdadalA	delivery
pagdAdalhAn	destination of delivery
tagapagdalA	delivery carrier
panahOn	time, period, age, season
habang-panahOn	forever ("during time")
magkapanahOn	to have time
kapanahon	contemporary
nApapanahOn	timely, opportune (rt. taOn)
madali^	easy
magaAn	easy, light
gaAn	lightness (in weight)
gaanAn	to lighten, simplify
pagaanIn	to lighten the weight of
magaanAn	to find something to be easy
magpagaAn	to make easier, facilitate
una	first
pangalawa	second
pangatlo	third
ikaapat	4th
panlima	5th
pang-anim	6th
ika-anim	6th
panlabing-isa	11th
panlimampu't-isa	51st
ikalimampu't-isa	51st
pansandaan	100th
ikasandaan	100th
kaya^	that's why, therefore, hence
kanino	whose, whom
kung	if, when
ninyo	for your, by you (plural or respectful)
tila	it seems, perhaps, appears to be
bawa't	each
ibA't-ibA	varied, various
maya-maya^	in a little while
madalAs	often
bihira`	seldom
minsan	sometimes; once
minsan-minsan	occasionally
lagi/palagi	always
parati	always
pagkalaglAg	miscarriage
pagpapalaglAg	miscarriage
bagalan	slow down
ulitin	repeat
paki-ulit	please repeat
pabaya^	negligent, careless
pabayaAn	abandon, neglect, disregard
heto	here it is
magsikap	endeavor, make an effort
balat	skin
balatan	to peel
hugas	washing
hugasan	to wash
walis	broom
walisan	to sweep
tanda^	remembering
tandaan	to remember
haya^	tolerating
hayaAn	to let be / leave alone
lapit	closeness
lapitan	to approach
punta	direction, destination
puntahan	to go
abot	reach
abutan	to pass to
upo	sitting
upuan	to sit on
lagyan	put in/on
bigyan	give to
ngitian	to smile at
kantahan	to sing to
saktan	to hurt
halikan	to kiss someone/something
tira	left over
tirhan	to leave something for someone
iwan	leaving (something)
iwanan	to leave something for someone
basa	read(ing)
basa^	wet
alisin	remove something
panggap	pretending
hayo	go ahead
sulong	go ahead
hayOng	there it is
magwakAs	to finish
tapusin	to complete something
ubusin	to comsume, destroy, eat up
ubOs	consumed, all gone
halata^	obvious, noticeable, apparent, visible
magpahalata^	to attract notice
hanggAng	until, up to
halimbawa	example
kanina	a while ago
kahulugan	meaning
ayon	in agreement
kaayon	in agreement with
makaayon	to be able to agree
aywan	ignorance, denial of knowledge
handa^	ready, prepared
habang	during, while, as long as
pag	when, upon; if, whenever
lagAy	to put, also bribe
ilagay	to put something
itapon	to throw something
itanong	to ask someone
kAya	to be able to; ability
kina	plural of "kay"
nayamot	was bored
ganito	like this
pagkakaiba	difference, diversity
gamit	use (n)
gamIt	used
gamitin	to use something
paggamit	usage
pagkakagamit	how something was used
iba	other, another, different, else
ibahin	to make something different, alter, revise
ikaiba	to differentiate
mag-iba-iba	to keep changing
maiba	to feel out of place
bilang	number; as X
bilAng	numbered (as in "your days are numbered")
dami	amount, quantity
dumami	to increase in amount/number
andami	"ang dami" - so much/many
gamot	medicine
karamihan	most, the majority
sang-ayon	willing, in agreement
sumang-ayon	to agree with / side with
mapasang-ayon	to be convinced/persuaded
akong-ako	"so me" (eg, akong-ako 'yun)
magawa	to do something
ginawan	made for
nagpagawa	asked someone to make
gawain	task, employment, assignment, undertaking
gawa^	an act, action, work, deed, play, task, duty
gawIn	to do (perform, act, make)
pag-uusap	conversation
pag-usapan	to discuss
utak	brain
hayaAn	there!/done!
hayOn	there it is
tamAd-tamaran	pretending to be lazy
kadalasAn	a frequent occurance
manood	to watch
lumakad	to walk
laban	a fight, contest
kalaban	opponent, enemy
labanAn	to oppose
palaban	competition
walang-laban	defenseless
labAs	outside
ilabAs	to take out
lumabas	to go out, come out; prove
maglabAs	to take out, draw out
palabAs	a show
paglabAs	exit; appearance
taga-labAs	outsider
labasAn	to bring out, discharge
labasin	to go out to get something
mahilig	fondness
sabi	statement; to say
sabihin	to say or tell
sabI-sabihin	mention repeatedly
pakisabi	please tell
pasabihan	to notify
makisabi	to ask someone to tell someone something
magpasabi	go get someone to say something
makapagsabi	to be able to tell
pagsabihin	to repremand
sabihan	to notify, reprove
sinabi	said, professed
ibig-sabihin	to mean
nais	a desire or wish
naisin	to want, desire, wish for
ulit	repetition; again
mag-ulit	to repeat
tanong	a question
tanungIn	to question, ask
magtanong	to ask a question, to question
bigAy	giving, gift
magbigay	to give, emit, give off
ibigay	to give, offer
bigyAn	to give, offer
gamIt	use (n), utilization
gamItin	to use, apply
dumating	to come/approach, arrive
datIng	arrival
datnAn	to visit
datnIn	to reach
tumingin	to look
tingIn	a look, view, sight, estimate
tingnAn	to see, look at, notice, view
isip	mind, intellec, thought, judgement
isipin	to think about, consider
magIng	to be, to happen, to become
magigIng	future, what is intended to be
kitA	ko + ikaw, you by me in passive sentences
kIta	visible
makIta	to see
kunIn	to take something
kuha	act of getting
kunan	to get from
marinIg	to hear
dinIg	audible
inggAn	to listen to
parinIg	a hint
pandinIg	sense of hearing
bobo!	stupid!
pandak	short/shorty
tae	shit
sobra	too much
labis	excess, too much
sapat	enough, sufficient, ample, adequate
tAma	right, correct, accurate
mahal	expensive, dear; love; dearly
mahalaga	important, essential, valuable, precious
tanghalian	lunch/lunchtime
hapunan	dinner
ingat!	take care!
likAs	natural, inherent, innate, characteristic
kalikasan	nature
pagkalikas	inborn-ness
likas-yaman	natural resource (riches from nature)
lIkas	exodus
lumilikas	evacuate, migrate
paglikas	evacuation, exodus
wasak	ruin, destroy
mapangwasak	destructive
sinira	ruined, destroyed (milder than "wasak")
mahina`	weak (trait of person, not coffee)
isa-isa	one at a time
kasalungat	opposite
tuhod	knee
kulot	curl
buhok	hair
magpakulot	to have curled
kulutin	to curl something
mga	pluralizer; about, approximately
kapwa	neighbor; "fellow", as in "fellow human being"
makatulong	help (abilitive)
kapwa-tao	relations with others
makipagkapwa-tao	to get along with others
kapwang	both, all
dukot	to pull something out; kidnap, abduction
pagdukot	abduction
dukutin	abducted, kidnapped
mandurukot	pickpocket
