sa puhúnan	at cost
hindi yata	I don't think so
patí na rin ang	as well as
akinA	give it to me
ipanalangin mo kami	pray for us
paano kung	what if...
ano sa tingin mo?	what do you think?
sa tingin ko ang..	I think that..
nasa sa iyo	it's up to you (spoken as 'nasayo', or 'nasa iyo')
kumain ka namán	please eat
nauuhaw ako	I'm thirsty
nagugutom ako	I'm hungry
nagbibiro lang ako	I'm just kidding
nagustuhan mo ba?	do you like it?
babalik rin ako agad	I'll be right back
maganda yan!	that's good!
hanggang sa muli	until next time
wala na	nothing (else)
gaya sa akin	same with me
kahit na	even so
sumama ka sa akin	come with me
kamusta ka na?	how have you been?
wala masyado	nothing much
hindi mabuti	not good
siya sige	okay then
kung sa palagáy mo	if you think..
sa palagáy ko	in my opinion / I think
makíkiraán pô	please let me pass.
sumama sa akin	come/go with me
tama na	that's enough / no more
tigil!	stop!
Alis diyan!	Get lost!
gaano katagal?	how long?
tila uulan.	It seems it's going to rain.
Mamatáy man akó	I swear on my life
pa rin	still
huwag mo akong tulakin	don’t push me
huwag na	no need
kAya pa?	can you still do it?
mag-salita ng tagalog	speak tagalog
katwiran na magalit	(a) reason to be angry
maging masaya	to enjoy, have fun
sa ano mang oras	any time (in the future)
sa kabila	despite
yun yon	that's what that is
pwede na	no choice
eh ano (naman)?	what about it?
sinabi ko naman sa iyo..	I'm telling you..
pake ko?	what do I care?
bakit ba?	why is that?
ano ba?!	what is it?!	what do you want??  (expression of annoyance)
sakâ na	some other time
Sakâ mo na ako tanungin.	ask me another time.
maliban kung	unless, if not
kulang sa pansin	lacking in attention
saan man	anywhere
di bale	doesn’t matter
di bale na lang.	never mind.
the same	magkapareho(ng), magkakapareho(ng)
different	magkaiba(ng)
you're useless	wala kang silbi
kahit saan	everywhere
na naman	again
kItang-kIta	obvious
dáhan-dáhan	slowly
dáhan-dáhan ka!	settle down!
pantay	equal
mawalang galang lang	excuse me
huli na tayo	we are late
kahit ano	whatever
pinakamagaling	best
aba ab aba	oh really?
ako na	it's me(?)
nakakuha	found
lákompaké	'Wala akong pakialam' I don't care
wapakéls	'Wala akong pakialam' I don't care; None of my business
anó na?	what now?; what next?
dalika	be quick!; be quick about it!; * contraction from "magmadali ka"
Diyuskó!	(diyos) My God!
edí	eh, kung hindi - well, so, in that case; not that; therefore; well then; so then
hindî na	not any more, no more, no longer, no further
pahingî	May I have; Please give me; Please let me have
langyâ	'walang hiya', meaning unashamed, without shame; an exclamation for a shocking or aggravating wrongdoing
hindi na hihiya	without shame / shameless
Pahiyá ka no?	Wasn't that embarrassing?
káliwaan	(kaliwa) Cash On Delivery (COD)
kayá palá	so that's why
kíta-kíts	See you!; See you later!
tamó	'nakita mo' see?; do you see?
siyangá palá	by the way
patáy	crap / oh my gosh / dang
Handâ, sipát, putók!	Ready, aim, fire!
tabí-tabí	side by side
tao pô	anybody home?; anyone there?; there's someone here
tayo na	let's go
itutulóy	'To be continued'
katunayan	[expression] in fact, actually
Pautang!	(utang) Lend me money!
ániyá	'wika niya' he/she said
anang	'wika ng'? it is said by; according to
kako	'wika ko' I say, I said
ánilá	'wika nila' according to them; they said
ánitó	'wika nito' he/she said
kumbagá	'kung baga' like, that is to say, in a sense, as if, it seems
palá	'by the way' expression of realization; indicates change in topic
anuhín	(ano) to do something with (idiomatic)
takáw-apóy	flammable [idiomatic]
Asa ka pa!	You wish!
basâ ang papél	'wet paper' - having a bad reputation
bahay bató	prison, jail
parang walâ nang bukas	as if there's no tomorrow
dugô at pawis	'blood and sweat' blood, sweat and tears
hulog ng loób	'fallen inside' fallen in love
matabáng isdâ	wealthy person
Anóng nakain mo?	What's gotten into you?
mabigát ang kamáy	lazy 'heavy-handed'
kapál ng mukhâ	arrogance, obnoxiousness, impudence, shamelessness, disrespect; obnoxious, egotistical
kayâ	used idiomatically to express doubt, question or surprise
masamâ ang loób	harboring a grudge; with an ill feeling
sirâ ang loób	discouraged, disheartened; lacking confidence
hindí maipintá ang mukhâ	'unable to paint the face' - describes someone who is frowning
abot tenga ang ngitî	said of a person who is grinning 'ear to ear'
isulat sa tubig	'written on water' - forget about it
itagá mo sa bató	mark my word
gayón man	nonetheless, nevertheless; however; though; anyway
ni hindî	nor
at hindî	and not
kayá lang	it's just that.., the trouble is, the thing is, the problem is, the only thing is
maliban kung	except
maliban sa	aside from
at saká	and; and then; as well as; further
yari sa	made of/from
Panoorin mo ako.	Watch me.
yáring-kamáy	handmade
masyadong marami	too much
sumamâ ang tingín	to glare at someone or give a mean look
puwera birò	no kidding
pabayaan	to disregard something, to never mind something
Hindi kailanman nangyari ito	it never happened
hindi na mauulit!	never again!
Hindi pa ako nakapunta sa Paris	I have never been to Paris
Hindi ko na ulit 'yun gagawin	I will never do it again
Puwede ba kitáng makausap?	Can I talk to you?
Dahan-dahan magsalita, nga!	Speak more slowly!
Gawín mo na!	Do it!
Parehong kasabay	at the same time, simultaneously
habang walâ akó	while I'm away
mga gamit	stuff/things
nang wala ako	without me
si Paul ito	this is Paul
Nawala kami ng daan	We lost our way
dahan-dahan ka	calm down
áanhín	what's the use/point
huli ka na	you're too late
nakita ko na	I've seen it
tahan na	don't cry
kumulimlim na	it was getting dark
bahala na siya	let's leave it up to him
wala na si Tom	Tom is gone
hindi ka na bata	you're not a child/young anymore
oras na ng tulog	it's time for bed
nasa iyo na iyon	it's up to you
hindi na mauulit	I won't do it again
naghapunan ka na?	have you had dinner yet?
di ba malinaw na?	is it not clear enough?
magsimula na tayo	let's start right away
hindi na ako nene	I'm not a girl anymore
nakalimutan mo na	you've already forgotten
halos handa na ako	I'm almost ready
okey na ako ngayon	I'm feeling better/fine now
bumalik na ba siya?	is he back already?
bumalik ako	I'm back
kalimutan na natin	let's forget it
paiyak na si Tomas	Tomas was on the verge of tears
handa na ang lahat	everything is ready
umalis na ang tren	the train has already left
mawalang-galang lang	excuse me
di na kayo mga bata	you're not children anymore
huminga nang normal	breathe normally
nakilala mo na siya?	have you already met her?
dapat matulog ka na	you should sleep
hindi na siya galit	he's not angry anymore
oras na ng pagtulog	it's bedtime
wala na akong maisip	I'm running out of ideas
ingat sa aso	beware of dog
sa kanya iyan	that's his
ngá bá?	is it actually the case?
sabihin ang katotohanan	tell the truth
Naíibá ka rin.	You're something else.
ibayong dagat	overseas
sabihin mo sa akin	tell me
sa bandang alas tres	at around three o'clock
pagkatapos na pagkatapos	soon afterwards
madaling-araw	“soon to be day” = dawn
malapit na	soon
sa madaling panahon	in “easy” time = soon
sa lalong madaling panahon	the earlier the better (as soon as possible)
namiminto	expected/likely to happen soon ("on the threshold") (pintô)
masasanay ka agad	you'll get used to it soon
waláng anu-anó	sudden, unexpectedly
walang may pakialam	no one cares
sinong may pakialam?	who cares?
wala kang pakialam doon	it's none of your business
wala akong pakialam sa kanya	I don't care for him
wala akong pakialam sa gastos	I don't care how much it costs
paki sagot	please answer
hindi ko alam na may pakialam ka pala	I did not know you still care
wala akong pakialam kung anong gawin niya	I don't care what he does
nasa iyo na iyon	that's up to you
patingin ng ID mo?	may I see your ID?
málay ko ba?	how would I know?
ako ang huhusga	I am the one who will judge
Tumabí ka.	Move out of the way.
Dito ka tumabí sa akin.	Stay here beside me.
Tumabí ka diyán!	Get out of my way!
Tumabi ka.	Step aside.
Yun na nga.	That was it.
susunod na hakbáng	next step
Puwedeng puwede.	Totally acceptable.
Natarantá ako.	I panicked.
sa pagitan ng	between
ang mga ito	these
ang mga iyan	those
waláng kaalám-alám	without the faintest idea, totally clueless
sige ba!	sure!
oo ba	yes, for sure
Makikita mo!	You'll see!
Mas gustó ko..	I prefer / like better..
wala silang paki	no one cares
tatawagin na kitáng "Honey Bun"	I'll call you "Honey Bun"
ang ibig kong sabihin...	what I mean to say is..
unang ako e	I'll head out, smell ya later
paano ako?	what about me?
ano naman...	what about...
sali ka ba?	are you joining?
hangga't kaya	while you still can
mahirap pero pwede	difficult but possible/doable
noong huli	the last/previous time
kalma na	calm down
ngiti lang	just smile
pabayáan mo	don't worry about it
pabayáan mo ako	leave me alone
Sirâ yatà.	Looks like it's broken.
makipag-isang dibdib	get married
Noong unang panahon	a long time ago
kung kaya't	so/therefore/hence
PabayAan mo	don't worry about it
pabayAan mo ako	leave me alone
Walâ akong magawa	there's nothing I can do
kung paano sila gagamitin	how to use X
walang kahit sino	no one
para saan?	for what?
sa wakás	finally, eventually
ayán na naman	yet again
hindi na mauulit	never again; I won't do it again
pinapatawad na kita	I forgive you
galingán mo	do your best
ganyán talagá e	it's just/really like that
kung ganoon	in that case
sa ngayon	for now, for the time being
ang anak kong babae	my daughter
sino ba?	who??? (impatient)
puro badúy	pure shit
Hindî kailanmán	never
ngâ palá	oh, by the way..
ang kapál ng mukha mo	the nerve you have!
eh ano naman!??!	so what?!?!
waláng sínumán	no one
walang tiyaga, walang nilaga	"patience is a virtue", "no patience, no stew"
mayá't-mayá	time and again; always; every now and then
Ang umiibig sa ama o sa ina ng higit kay sa akin ay hindi karápat-dapat sa akin.	He who loves mother or father more than me is not worthy of me.
ibayong dagat	overseas
bago magdilim	before (it gets) dark
sabi nga nila..	as they say..
Maging sino ka man	Whoever you may be
