Hindî ngayón.	Not now.
Paano kung siyá ang mangailangan ngayón?	What if he's the one in need this time?
Idineklará ang suspénsiyón ng mga klase ngayóng araw.	The suspension of classes today was declared.
Sa ngayón, hindî kamí tumátanggáp ng aplikante.	At this time, we are not accepting applicants.
Anóng libró ang binabasa mo ngayón?	What book are you reading now?
Hindî ko mahanap ngayón ang aking pasaporte.	I can't find my passport now.
Kinákaharáp ngayón ng Pilipinas ang matindíng súliranin sa korupsyón.	The Philippines is currently facing the severe problem on corruption.
Hindî ko mabilí ang pantalón dahil kapós akó ngayón.	I can't buy the pants because I'm broke.
Huwág mo muna akóng singilín ngayón.	Don't collect your payment from me yet today.
Masayá siyá ngayón.	He is happy today.
Saán tayo makákahanap ng proteksiyón ngayón?	Where can we find protection today?
Pakawalán mo akó ngayón!	Free me now!
Sinong magkásintahan ang maghíhiwaláy ngayóng taón?	Which couple will separate this year?
Kabibigay ko lang sa iyó ng pera kahapon, ngayón humihingî ka na namán?	I just gave you money yesterday, now you're asking again?
May ikinákasál ngayón sa loób ng simbahan.	There's a couple getting married now inside the church.
Mga magkano ang idinagdág sa sweldo mo ngayón?	About how much was added to your salary now?
Maáalala mo pa kayâ akó sampûng taón mulâ ngayón?	I wonder if you'd still remember be 10 years from now.
Anó ang naibá sa itsura ni Rose ngayón?	What change did you notice about how Rose looks now?
Kákailanganin mo ang malakíng halagá para makabilí ng bahay ngayón.	You will need a large amount of money to be able to buy a house nowadays.
Anóng iniisip mo ngayón?	What are you thinking about now?
Nag-íisíp siyá ng ipopóst niyá sa FB ngayón.	She's thinking of what to post on FB today.
Nanggagaling sa pusò ko ang sinasabi ko sa iyó ngayón.	What I am telling you now comes from my heart.
Ngayón na natin gawín itó at bakâ tamarín pa tayo bukas.	Let's do this now or else we might not feel like doing it tomorrow.
Sa ngayón ay ináalám pa ng pulisya ang motibo ng pagpatáy sa bíktima.	For now, the police are still ascertaining the motive for the murder of the victim.
Naíintindihán ko ang pinagdádaanan mo ngayón.	I understand what you're going through right now.
Naghuhugas ka pa rin ng mga pinggán hanggáng ngayón?	You're still washing the dishes up to now?
Mukháng marami kang problemang hináharáp ngayón.	It seems that you are faced with a lot of problems now.
Noóng nakaraáng buwán lagi`ng malungkót si Rose pero ngayón nakákatawa na ulî siyá.	Last month Rose was always sad but now she is able to laugh again.
Kaní-kanina lang ang ínit-init ng araw, ngayón umúulán na.	Just a while ago the sun was so hot, now it's already raining.
Ngayón na mag-iibáng bansâ ka, sana hindî ka makalimot.	Now that you're going abroad, I hope you will not forget about me.
Huwág ka nang maglarô ng tennis ngayón kasí mapapagod ka lang.	Don't play tennis anymore now because it will just tire you out.
Ngayón ang unang araw pagkatapos ng eleksiyón.	Today is the first day after the election.
At ano ngayon?	And so?
Ngayon ay Sabado.	Today is Saturday.
Magumpisa ngayon.	Start now.
Okey na ako ngayon.	I'm feeling fine now.
Hindi Pasko ngayon!	Today's not Christmas!
Sundan mo ako ngayon.	Now follow me.
Medyo pagod ako ngayon.	I'm kind of tired today.
Hindi ako pwede ngayon.	I can't right now.
Miyerkules ngayon, diba?	Today it's Wednesday, isn't it?
Wala akong panahon ngayon.	I don't have time now.
Kulang ang pera ko ngayon.	I'm short of cash at the moment.
Wala siya sa bahay ngayon.	She's not at home now.
Masyado ang kape ko ngayon.	I've drunk way too much coffee today.
Kailangan ko ng nars ngayon.	I need a nurse now.
OK na ba akong umuwi ngayon?	Is it OK if I go home now?
Sori po, puno na kami ngayon.	Sorry, we're full today.
Dapat mo nang matulog ngayon.	You must go to bed now.
Maaaring umulan ngayong gabi.	It might rain tonight.
Imposible nang lumabas ngayon.	It's impossible to go out now.
Walang trabaho si Tomas ngayon.	Tom is currently unemployed.
Bakit gusto mong umalis ngayon?	Why do you want to leave today?
Binasa mo ba ang dyaryo ngayon?	Have you read today's paper?
May kaunting pera na ako ngayon.	I have a little money now.
Sinong magsasalita ngayong gabi?	Who is going to speak tonight?
Gusto mong magsine ngayong gabi?	Would you like to go to a movie tonight?
Ngayon ay umiinom ako ng servesa.	I'm drinking a beer right now.
Siya ay ang asawa niya sa ngayon.	She is his present wife.
Kailangan ka namin dito ngayon din.	We need you to get here ASAP.
Aalis ka ba ngayon?	Are you leaving now?
Hindi siya masaya ngayon.	He's not happy right now.
Darating siya ngayon.	He will arrive today.
Masaya ako ngayon.	I'm happy today.
Hindi ka maglalakad ngayon?	Won't you be walking today?
Paano na ngayon ito?	What about now?
Hindi ka ngayon aalis.	You're not leaving today.
Ngayon ko lang napagtanto.	I just now realized.
Ngayon mo sabihin sa akin.	Now you tell me.
Medyo pagod ako ngayon.	I'm kind of tired today.
Hindi ako puwede ngayon.	I'm not available right now.
Wala siya sa bahay ngayon.	He's not home right now.
Kulang ang pera ko ngayon.	I'm short of cash right now.
Maaaring umulan ngayon.	It might rain today.
Ano ang plano mo ngayon?	What is your plan now?
Alam ba niya na ngayon ka uuwi?	Does he know you're going home now?
May ipapadala ako ngayong bagahe.	I will send luggage today.
Hindi ka ba aalis ngayon?	Aren't you leaving now?
Ako lang ang aalis ngayon.	I'm the only one leaving now.
