Marami ang bulaklák.	There are many flowers.
Sumamâ ang tingín ni Jenny kay Jack nang sinabihan siyáng huwág siyáng kumain nang marami.	Jenny glared at Jack when he told her that she should not eat too much.
Maraming taón na ang dumaán mulâ noóng Pangalawáng Digmaan.	It's been many years already since World War 2.
Kumain ng maraming gulay.	Eat a lot of vegetables.
Madaming kakilala si Tom.	Tom knows a lot of people.
Marami akong naipong pera.	I saved a lot of money.
Maraming otel sa dawntawn.	There are many hotels downtown.
Maraming salamat sa tulong.	Thank you so much for the help.
Ako'y may maraming kaibigan.	I have many friends.
Maraming pabrika sa Kawasaki.	There are a lot of factories in Kawasaki.
Maraming mali itong databeys.	This database contains many errors.
Maraming luku-luko sa aklatan.	There's a lot of crazies in the library.
Marami bang turista sa Armenya?	Are there many tourists in Armenia?
Gumawa ng maraming mali si Tom.	Tom made many mistakes.
Naghingi siya ng maraming pera.	He asked for a lot of money.
Si Ann ay may maraming kaibigan.	Ann has many friends.
Marami akong natutunan mula sa iyo.	I learned a lot from you.
Tulad ko, maraming kaibigan si Lucy.	Like me, Lucy has many friends.
Talagang maraming tao'y kilala siya.	Very many people know him.
Kilala ng maraming tao ang mukha niya.	His face is known to many people.
Nagsasayang ng maraming pagkain si Tom.	Tom wastes a lot of food.
Maraming salamat sa pag-imbita sa akin.	Thank you so much for inviting me.
Maraming gitara ang may anim na kwerdas.	Most guitars have six strings.
Nakapunta ako diyan nang maraming beses.	I have been there scores of times.
Maraming libro siyang binasa sa Tagalog.	She has read a lot of Tagalog books.
Gaano karami ang mga tao sa iyong grupo?	How many people are in your group?
Di kailangang magpanik. Marami pang oras.	There's no need to panic. There's plenty of time.
Gaano karaming tao ang kasya sa kotse mo?	How many people can fit in your car?
Nakilala siya ng marami sa loob ng teatro.	Many in the theater recognized him.
Sa ilog ay maraming isdang kulay-dalandan.	There are many orange fishes in the river.
Maraming libro ang pina-publish bawat taon.	A lot of books are published every year.
Ang panahon ay nagbubura ng maraming alaala.	Time erases many memories.
Maraming pandesal ngayon ay hindi na maalat.	Most salt bread nowadays is not salty anymore.
