aalug-alog	shaky, rickety
aling	a title of familial respect used before the first name of a woman; when the name is not appended, the noun form is ale
alinman	any, anything
alinsangan	heat and humidity of the weather, oppressiveness of weather
alinsunod	pursuant, in accordance to, precedent
alipin	slave
alipustâ	belittlement, maltreatment
alis	departure; leave!
alisto	alert, quick, nimble (also 'listo')
alit	quarrel, conflict, tiff, strife
alitan	quarrel, conflict, tiff, strife
alituntunin	law, rules, principles, regulations (e.g. traffic rules)
aliwalas	airiness, spaciousness (waag, luwang, luwag, kahanginan, kapreskuhan); brightness, pleasantness, coziness (waag, liwanag, ganda, ayos, ginhawa; (by extension) pleasant or joyful disposition or appearance (of a person) (saya, kasayahan)
alkalde	mayor
alkansya	piggy bank, penny bank, money box
almusal	breakfast
alók	an offer
alon	waves (as at a beach, hair, etc.)
altapresyon	high blood pressure
alukín	to offer
alunyâ	bawal na paglalambingan
amá	father
ama-amahan	foster father
ámag	mold, mildew
amagin	to become moldy, mildewy
amaín	stepfather; uncle
ambâ	threaten; threatening gesture
ambaán	to threaten someone; to make threatening gestures toward someone
ambág	contribution
ambagan	contribution by several (diff. from ambagán)
ambagán	to contribute
ambon	drizzle, light rain
amíhan	cool northeasterly airflow
amin	ours (exclusive)
ámin	confess, admit, acknowledge
aminin	to own up to/admit/confess something (inamin, inaamin, aaminin)
amo	master, employer, boss
amok	amuck, in a frenzy state
amoy	smell, odor
amoy-araw	smell of sweat after being in the sun
ampalaya	balsam apple; bitter gourd
ampát	the act of stopping or controlling the flow or drip of blood, water, and similar substances
ampón	adoptee
amuyin	to smell something
anák	child (offspring)
anag-ág	faint light, glimmer of light
anak-anakan	foster chld
anak-pawis	“child of sweat” = born of the working class
anay	termite, white ant
andáp	flicker
ang	marker (usually said as "yung" in conversation)
ang aga mo!	you’re so early!
ang aga nila!	they’re so early!
ang mga marálitâ	the extremely poor
angal	prolonged crying; complaint, problem
angas	a show-off, boastful person
ángguló	angle
anghit	body odor
angilan	to snarl at, to growl at
angkán	family, clan; lineage, ancestry
ani	crop, harvest
ani	said by
anihin	to harvest
aniko	I said
ánimó	seemingly, seems like; spirit, essence
anino	shadow, image or reflection
anito	a pre-christian idol
aniya	he/she said (anya)
anó	"what" could be used as question or not, as in "I know what.." -> "alam ko anong.."; tag word in negative questions
ano man	whatever
antála	delay
antás	step/degree/level/grade/rank of progress; circumference; academic degree
antasín	to classify, grade (not commonly used)
antáy	waiting
antig	friendly reminder
antíng-antíng	magical powers
antipatiko	displeasing, disagreeable, unfriendly
anu-ano	this and that; other (plural); plural of ano
anumán	whatever, something, anything, any, no matter what (ano + man)
anupat	consequently (anupa't)
anya	he/she said (aniya)
anyô	form, appearance, figure
apaw	overflowing
apawan	to overflow
apíd	adultery, fornication
apó	grandchild
apoy	fire, flame
aral	lesson, learning
aralin-bahay	homework
araw	day; sun
áraw-araw	every day, daily, each day
arawán	on a daily basis
arì	property
arí-arian	possessions, property, goods
ariin	to consider, acknowledge
arkila	rent (a vehicle)
arkilado	rented (vehicle) inupahan
armás	arms (weapons)
aruga	nurture, tender care
arugain	to nurture
asahan	to expect, be sure that something will happen
ásal	conduct, behavior
asár	infuriating, offensive, teasing
asarín	to infuriate/offend/anger someone
asim	sourness
asín	salt
asúkal	sugar
asungot	annoying person; irritating person; someone who likes to tag along or follow around someone else
asunto	a court case
asupre	sulfur, sulphur, brimstone
aswáng	a mythical ghostly spirit (alt. asuáng, asuwáng), aka tik-tik or wak-wak in some parts of the Philippines
at	and; and what's more...; as/because (as an explanation of something, eg. "as it might rain")
at nang	so that, in order that
at saka	furthermore, and also, as well as
at saka pa	complaining: "kung kailan na X, at saka pa Y!", "oh, now when X happens, Y (inappropriate) happens / will/is to happen" (see trg p.542)
ata	our, ours; abbrev. of 'yata'
ataud	coffin, casket
atat	in a hurry (similar to 'apurado')
atat na atat	in a big hurry
atay	liver
atikabó	enthusiasm, lively spirit; sudden outburst, e.g. of applause
atim	tolerance, bearing with, sufferance
atin	[sa pronoun] our, ours, us, by us (inclusive)
atraso	arrears, lateness; slang - to wrong someone "may atraso"
atubilí	hesitation, reluctance (syn. bantulót)
atupag	chore, thing to do, task, occupation
awa	pity, mercy
awat	pacification of quarreling people (mang-awat, umawat, awatin)
awatin	pacify or separate quarreling persons
away	fight, quarrel, dispute
áwit	song
awitan	to sing to someone; song contest
awitin	to sing
awitín	common songs; hits
ayain	to invite someone
ayán	there! (interjection)
ayaw	don't/doesn't want
ayuda	aid; something supplementary
ayún	"as you can see", "there you go", "there it is", "so there", etc.
ayúno	fasting (not eating)
ba	yes/no question former, or emphasise when used with question word ("ano ba")
ba	used to emphasise remark, as "sige ba" ("go ahead!"), "Para bang.." ("It's as if indeed, that.."), "oo ba" ("yes indeed")
ba't	bakit
babà	chin
babà	lowness
babâ	below; "get down"
bababa	will come down, descend, get off (as vehicle)
babalâ	caution, warning, notice, alarm
babasagín	breakable, fragile
baboy	pig
babuyan	pigpen
badil	practice of political candidates paying people to get their fingers inked prior to an election so they can't vote
badíng	gay (baklâ)
badúy	uncool, unhip, old-fashioned, low class
badyá	expression, indication
badyahin	to signal, to indicate
baga	glowing coal, ember
bagà	lung
bagá	an emphatic marker
baga	variant of "ba", "occurs in some regional dialects, but is not found in educated Manila Tagalog"
bagahe	baggage, luggage
bagal	slowness
bagamá't	even though; although; while; though, "bagamán at"
bagamán	although, in spite of, while, even though (baga + man, old fashioned)
bagamát	bagamá't (even though; although; while; though)
bagáng	molar tooth
bágay	appropriate, fitting; thing, object
bágay-bagay	circumstances; this and that, things, various little things
bagbág	broken up (soil or rock); shipwrecked; sympathetic
bagin	vine
bagkus	on the contrary, instead, rather, but rather, but instead
bagoong	a small shrimp
bágo	new, fresh; before, prior to (cannot be followed by enclytic)
bágo pa	before, prior to
bágong-panganák	newborn
bágong silang	newly born
bagsák	decline, failure, dropoff, sudden fall or crash; failed, broken-down, collapsed
bagsík	cruelty, severity, fierceness
baguhin	to change
bagwís	feather
bagyó	storm, typhoon; successful
bagtas	trail through rough country; intersection
bahâ	flood
bahág	G-string (loin-cloth)
bahág-hari	rainbow
bahagi	part, fraction, segment
bahaginan	to share, give a part of something
bahagyâ	slight, little, scant; slightly, scarcely, barely, partly, hardly
bahala	care/responsibility
bahay-kalakal	a business
bahid	stain, smear, trace
bahid-dungis	dirt stain, stain on one’s name
bahíng	sneeze (also bahín)
bahura	shoal, sandbar, sandbank
baít	kindness; the mind
bai-baitáng	step by step
baitáng	a step of stairs, rung of a ladder; a grade or level in school
baka	beef; cow
bakâ	perhaps, maybe, might; lest, if, in case
bakal	iron
bakás	print, mark, track, imprint, trace
bakasakalì	by chance
bakát	imprint, mark
bakbák	detached
bakbakán	to remove skin or bark (bakbák)
bakbákan	a fight, usually physical
baklád	fish trap
baklaran	place where there are fish corrals or traps
baklâ	gay, homosexual
baklás	pry off, detach from
bakô	unevenness (of a surface, like a road); crooked
bakod	fence
baku-bakô	rough, uneven, rugged, not level
bakuna	vaccine
bakuran	(front) yard; premises
bakwit	evacuate
bakyâ	clogs, wooden sandals
bala	threat, warning
bála	bullet, pellet, slug
balagat	clavicle, collarbone (klabikula)
balaghán	wonder, amazement
balagtás	direct statement without circumlocution; shortcut; crossing a street/road
balahíbo	fine body hair, feather hair of fowls of woolly hair of animals, fur
bálak	plan, intention
balakid	obstacle
baláng	hindi maayos (pabaláng)
bálang	each, any
bálang araw	some/one day (ie, eventually)
bálang-araw	someday, one day
balangkas	framework, plan
balanì	magnetism, gravitational pull
balasa	shuffling (of playing cards, etc.)
bálat	birthmark, patch on the skin
balát	skin, pelt, rind, paring, crust, shell,  surface, pod, cover
balbál	vulgarity; vulgarness 
baldado	crippled, disabled, worn out
baldé	pail, bucket
bale	value; as if; equal in value to; cash advance; so
bále-walâ	not worth ones salt, not worthy
bále-walaín	to ignore something/someone; to disregard something
bálewalâ	meaningless; worthless; of no value; not worthy of attention
bali	fracture, break; fractured, broken
baligtád	inside-out, upside-down, backwards, etc. (also 'baliktád')
balik	return
balik-balik	repeatedly
balikat	shoulder
balikatán       a shouldering of the load together
balikloób	change of heart, internal conversion
baliktad	inside-out, upside-down (also 'baligtad')
baliktarin	to turn something over (lit/fig)
balikukô	skewed
balimbíng	traitor, turncoat; two faced; a kind of fruit, starfruit; doble kara, dalawa ang mukha
balintunà	paradox
balisóng	fan knife, butterfly knife
balitaan	notify
balitaktakan	altercation
bali-balita	scuttlebut
balo	widow, widower
balón	a well (water well)
balot	wrapper, wrapping
balsa	a float, raft, ferry
balugà	Aeta people, dark skinned indigenous people. Usually used in an impolite / slang manner.  
baluktót	curved, bent, crooked; wicked, bad; curl in thread, rope, string; curve; coiled; distorted; mixed up; in a wrong order; askew
balutì	armor, breastplate
bambo	beating with a stick, palo
banáag	glimmer of light, ray of light; liwaywáy
banál	holy, virtuous, blessed
banát	stretched, tension, tense, smooth
bánat	stretching; a pull to stretch something; a hit, strike, insult
banatan	to go hard at someone/something
banatin	to stretch by pulling
banáyad	moderate, soft, gentle; slowly
bandá	towards or about a certain place or time, in the direction of (bandang alas tres -> around 3 o'clock)
bangâ	jar, native earthen jar
bangág	to be high (on drugs, etc)
bangayán	squabble
banggâ	collision, bang into
banggít	mention
bangháy	plot, plan, story
bangín	ravine, gorge, chasm
bangís	savageness, viciousness, fierceness, ferociousness
bangkâ	a type of outrigger boat (mag, mang, pa)
bangkay	corpse
bangketa	sidewalk, footpath
bangkô	bench
bángko	bank
bangon	to arise, get up, rise up
bangungot	nightmare
bangungutin	to have a nightmare (binangungot ako: I had a nightmare)
bangús	milkfish
banidoso	vain (banidosa)
baníg	mat, sleeping mat; blanket (historically made of woven, dried coconut leaves)
bansâ	nation, state, country
bansót	stout (rude); stunted in growth
bantâ	threat, suspicion, notion, intention
bantáy	guard, sentry, look after
bantayog	monument
bantog	famous, celebrated, distinguished, shining
bantulót	hesitation, reluctance (syn. atubilí)
banyaga	foreigner; foreign, alien
baon	pocket money; food or provisions brought to workplace, etc.
baón	buried
baraha	playing cards
barako	strong like the coffee from Batangas
barang	black magic; sorcery
barás	bar, rod, beam
barilan	gun battle
barkada	group of friends, clique, gang
barkó	a ship
barò	dress; gown; apparel
barò at sayá	the traditional/native attire for women, including a top blouse and skirt
baróng	traditional filipino dress shirt
bárung-barong	a shanty
baryá	change, loose money
baryo	barrio
basâ	wet (adj.)
bása	to read / reading
baság	cracked, broken, shattered
basag-ulo	quarrel (“broken head”)
basagulero	troublemaker
basahan	rag
basál	fundamental, abstract
basehán	basis
báso	drinking glass
basta	enough, sufficient, "it is enough"; as a declaration: "just because", "what matters is.."
baston	a cane (walking stick)
basyó	empty container, eg. shell casing from bullet; kalagayan o sisidlan na walang laman o nilalaman sa loob nito.
batà	a child; "young"
batá	tiís o pagtitiis, endurance
batang-hamóg	street kids
batás	law
batasan	legislature (lawmakers)
batay	based on, by, with
batayán	standard, criterion, basis (batay)
bátáyan	ground, basis, cause
Bathalà	God; deity
bathaluman	deity
batì	greeting
batíd	known, awareness; alt of "mabatíd" (to be cognizant/aware of, "batíd mo <ang|kung|na|..>..")
batík	spot, mark, fleck, patch, stain, blemish
batík-batík	spotted; speckled
batikán	spotted; tried, tested, seasoned, ace, expert
batikos	tirade, harangue, invective, verbal abuse
batis	spring of water, brook, fountain or source
batisan	shallow pool; place around a spring
bató	a stone, rock; kidney; something to throw, throwing
bató-balanì	magnet
batok	back of the neck, nape
batúbató	a turtledove; a wild pigeon
batúgan	lazy
batukan	to hit the back part of the head
batuta	baton
báwal	prohibited, forbidden
bawang	garlic
bawas	discount, reduction
bawas-perwisyo	harm reduction
bawasan	reduce, decrease
bawat	(bawa't) each, all, every, often followed by "lahat" or "isa"
baway	bowstring; the cord of a bow; bow cord
bawì	retraction, recovery
bawiin	to take something back
bayáan	let, allow (from bayà which is not often used on its own)
bayabas	guava
bayad	pay, payment
bayád	paid
bayan	town, country, "home"
bayani	hero, person who offers free service in a cooperative endeavor
bayarín	bills, bill; payable
bayáw	brother-in-law
bayawak	iguana, monitor lizard
baybáy	edge, border, coast; spelling
baybáyin	to enumerate
bayong	a large bag; bag or sack made of woven palm leaves
bayot	bakla
bayúbay	dangling, hanging, lawít, layláy, bitín, sabit
baywáng	waist
benta	sell
bentáha	advantage
berde	green
berde ang dugô	gay, homosexual (literally translated as "green blooded")
beses	time(s)
bestida	dress
betlog	scrotum ("a very uncouth-sounding word that less educated people use.")
bibig	mouth; mouthpiece (person, newspaper, etc.; that speaks for others)
biga	glib
bigás	unhusked, uncooked rice
bigát	heaviness, weight, merit, validity; slang for "heavy/deep"
bigay	to give
bigay-alam	notice/notification
bigay-hilig	indulgence
bigay-sala	accusation
bigay-todo	giving one’s all
bigkás	pronunciation
bigkasin	to pronounce, pronounced
bigla	sudden, immediate, unexpected
biglang-bigla	suddenly, unexpectedly
bigote	mustache
bigô	frustrated, disappointed; failure
bigti	strangled, hanged or hung by a rope
bigtihin	to hang or strangle oneself
biguín	to disappoint or fail someone
bigyan	to give to someone
bihira	seldom
bílang	number; "as X"; "serves as", "counts as" (pseudo verb) (Bilang pera ito. "This counts as money.") 
bilanggo	prisoner, captive
bilangguan	jail
bilas	husband of one's sister-in-law; wife of one's brother-in-law, asawa ng bayáw
bilasa	stale, putrid, spoilt (referring to fish)
bilíb	confidence in someone or something (colloquial term for 'believe')
bilibid	jail
bilihan	a place where men trade
bilíng	turn; turning; restless
bilis	speed
bilisan	hurry
bimpo	washcloth, small towel
binabae	pc term for gay man (bakla)
binalaki	pc term for lesbian (bakla)
binangkal	isang uri ng donut gawa mula sa rebosadong bola ng masa na pinahiran ng mga buto ng linga
binatà	bachelor, young man
binati	greeted
binatilyo	a teenaged boy who has just hit puberty, "young binata"  "23 years old -> binatilyo" wika net25 news
binato	to throw something
bingí	deaf
bingit	edge, brink
bingwit	fishing tackle
binhí	seed
binibini	polite title for unmarried women (outdated)
binigkas	pronounced
binilang	to count
binti	leg, especially the calf part
binubong	a hook-shaped coconut fruit picker attached to the end of joined bamboo poles
binubuo	composing/comprising (buuin)
binyág	baptism
birador	hitman(?)
birhen	virgin, chaste
birò	joke, banter, gag (joke)
birò mo	can you imagine..?
bisà	power, force, effect, strength
biskwit	biscuit
bisi	busy
bisig	forearm, arm; manpower, laborer
bisor	supervisor
bistado	obvious, exposed
bisto	obvious; discovered or found out
bisyo	vice; bad/evil habit or tendency
bitag	snare for catching birds
bitak	cleft (usually in fruit or wood); chink, narrow opening, narrow split
bitaw	releasing one's hold on something; letting fighting cocks loose to face each other
bitawan	unloosen; let go the hold on something; let words slip out
bitbít	hand carried / carrying by hand
bitbitin	to hand-carry
bitiw	to let go (lit/fig); loosen one's hold
bituin	star
bituka	intestines, bowels, gut, guts
biyahe	trip, journey
biyahero	traveller (byahero)
biyak	split, break, crack; cleavage, division
biyaya	favor, grace, mercy
biyenan	parent-in-law; in-law; in-laws
biyernes	friday
biyuda	widow
biyudo	widower
bola	a ball or round object; flattery
bolo	a cutlass-like weapon common in the Philippines: gulok, itak
boláhin	to flatter someone; to draw something (by lottery); to kid someone
bóngga	extravagently stylish
bote-bote	many bottles
brusko	rude; used to describe a man with a very big muscular body (slang)
buáng	crazy
bubo	overflowing; pouring out; poured out
bubog	pieces of shattered glass
bubong	roof
bubúyog	bumblebee; kind of large bee
budhî	conscience, sense of right and wrong (konsiyensiya)
buho	owl; bamboo (Bulacan); hole or opening (Cebuano, Hiligaynon)
butata	(this is a recent slang word.) interjection, grab attention, silenced by a retort, stumped as by an event, blocked shot in basketball
butol	a gullible person
bugaw	go-between, pimp; pander
bugbóg	beating up, pummeling
bugháw	blue
bugsô	crowd of people
bugsô	flush, blast, downpour
bugtóng	lone, the only one, sole, only child; unique (syn. tangì); riddle
buhangin	sand
búhat	from (buhat sa)
búhat	lift
búhat nang	since
buháwi	whirlwind, cyclone, waterspout
buháy	alive
búhay	life
buhok	hair
búhos	pour
bukal	(natural) spring of fresh water; source; reservoir
bukambibíg	common expression, adage, saying (also bukáng-bibíg)
bukáng-bibíg	common expression, adage, saying (also bukambibíg)
bukás	open
búkas	tomorrow
búkid	farm, country side
buklód	hoop around a barrel; put together, unity, alliance
bukód	separate, apart, in addition to
bukod-tangi	standing apart
búkol	lump, tumor, swelling
buktót	corrupt, very wicked, atrocious
bulág	blind
bulagtâ	fallen flat
bulahaw	disturbance
bulak	cotton
bulakbol	truancy; jobless person, vagabond
bulaklak	flower (noun)
bulalákaw	meteorite, shooting star
bulate	worm
bulból	pubic hair
bulilít	tiny, drawfish; smallest/youngest person
búlo	the hairy covering of some fruit
bulók	rotten, spoiled, decaying; corrupt
bulóng	murmur, whisper; a magical incantation
bulsá	pocket
bulung-bulungan	rumour, street chatter (bulóng)
bulusok	sinking with the feet into soft mud; swishing sound; swift plunge downward by airplane
bumaba	to go lower
bumadya	to signal, to indicate
bumagsak	to fail
bumahíng	to sneeze, sneezed (also bumahín)
bumakas	made an imprint
bumaligtad	to reverse oneself, to turn upside down
bumalimbíng	to betray, to be a traitor, to change the side someone is in favor of
bumanat	“to go in hard”
bumángon	to rise from a lying position, to get up
bumawas	to reduce
bumawi	to make up for something (bawì)
bumbilyá	light bulb
bumigay	collapse
bumigkas	to pronounce
bumingit	to be on the brink
bumitiw	to release one's hold or grip (bumitaw); disengage
bumukod	'be at/in a separate ... , do .. . separately' (cf. bukod 'separate') Bubukod ng bahay sila.
bumuô	to form, constitute, create
bundol	ramming with something large and long
búnga	fruit; result; consequence
bungad	front, threshold
bungang-isip	“fruit of the mind” creative works
bungang-tulog	“fruit of sleep” = dream
bungangà	opened mouth; mouth; piehole
bungisngís	(noun) giggle, chuckle
bungô	skull, cranium
buno	
bunô	wrestling; scuffle
bunong-braso	arm wrestling
bunsô	youngest child in the family, younger sibling (mga bunso -> younger siblings)
bunsód	launch (like a boat), launch an activity; a "boom" in something
buntís	pregnant
buntón	a pile, heap, batch, collection
bunyág	disclosure, revelation
bunyî	fame, renown, exaltation, exulting (syn. dakilà)
buô	complete, entire, whole; perfect, all
buong-buo	completely intact
buong-galang	respectfully
burador	a draft, rough copy
burak	deep mud, mire
burarâ	careless with things and actions, untidy,sloppy, messy, slipshod
burát	(buraot) mooch, parasite, stingy, annoying, dickhead, penis
buro	pickles, pickling, fermenting
burol	a hill
burol	lying in state
busabos	bum, thief
busángot	pouting glowering, scowl, wrinkle one’s lips as an expression of petulant annoyance, pag-ismid na nakanguso
busina	toot (sound of a horn, whistle etc.); horn (on a car and the like)
busisi	fastidious, overnice, slow in action; foreskin; prepuce
búti	goodness, properness
butikî	lizard
bútil	grain, seed, bead; maliit at matigas na butó ng halámang gaya ng mais, palay, at trigo
butlíg	blister; cyst
butó	bone; seed
buto't balat	malnourished (bones and skin)
buuin	to complete
buwán	month, moon
buwang	crazy (Visayan)
buwaya	crocodile
buwelta	pagbabalik, return (also bwelta)
buwis	tax, tariff, cropshare
buwísit	a nuisance
buwitre	vulture
chichirya	snacks / junk food
daán	hundred
daán	road, path, way
daan-daan	hundreds
daanin	to obtain by means of
dabaw	(rabaw) a crossing place over a river, lake, or the like; ford; crossing; ferry
dagâ	mouse, rat
dagat	the sea, ocean
dagat-datagan	a lake
dagdág	extension, increase, addition
dagdag-sahod	additional salary
dagdag-singil	price hike
dágok	hard blow to the nape or the back of the head
dagsâ	violent forward rush
dagtâ	sap, resin
dahan	slowness of movement or action; lack of intensity
dahán-dahán	slowly
dahás	force, ferocity
dahil	because
dahil dito	consequently, therefore, so..
dahilán	reason, excuse
dahon	leaf
daigdig	the world, the earth
dait	placed close to, united, fastened, attatched (also daíti, syn. to dikit)
daíti	pagtabihin o pagdikitin ang dalawang bagay
dakdak	to chatter nonstop
dakdák	(n) dunk; dunk a basketball
dakilà	great, distinguished, notable, illustrious, noble
dako	direction, way; region of a body, spot, place
dakót	fist, handful
dalá	carried, brought; accompanied/caused by
dalâ	to be wary
dalaga	a young/single woman; teenage girl; unmarried woman
dalagita	teenage female, preteen girl
dalamhatì	anguish, affliction, grief, extreme sorrow
dalanghita	tangerine
dalampasígan	seashore
dalás	frequency
dálaw	visit; guest
dalawáng-katló	two-thirds
dalawin	to visit someone/something
dalhin	to bring, carry
dali	quickness, rapidity, ease
dali-dali	quickly!
dalian	to hurry
daliri	finger
dalísay	pure, unadulterated, immaculate
dalitâ	extreme poverty
daló	presence, attendance
dambuhala	giant, huge; whale; monster
damdám	feeling
damdámin	feelings, sentiment, emotions
damdamín	to feel hurt or resentful about something
dami	amount, quantity; lots / a lot of
damit	clothing, dress
damo	grass
damot	stinginess, selfishness
dampâ	cabin or shabby home; bahay ng mahirap, karaniwang maliit at gawâ sa marupók na materyales
dampot	act of picking up with the hand
dának	spilling (of blood, etc.)
dánas	experience
dangkal	span from tip of thumb to tip of middle finger
dányos	damages (ie, payment for damages done)
dapâ	to trip, fall over; get down!
dapat	should, ought to, must
dapatwa	but, however (an "old word", dapatwa't)
daplís	grazing, tangential, just barely hitting
darating	will come somewhere
dasal	prayer
dasalan	book of prayer, place of prayer
datapwat	however
dáti	former(ly), previous(ly), old, ex, same, for a long time already
dati-rati	formerly, previously
datig	adjoining, near, contiguous; lining for clothes
datihan	used to, accustomed
dating	arrival
datnan	to find or discover upon arrival (dating)
datos	data
dáwit	entangle, be implicated (idáwit, madáwit, magdáwit)
dayà	deceit, fraud
dayain	to cheat someone
dayami	hay
dayo	visitor, stranger, foreigner
dayúhan	foreigner
dedma	the act of ignoring, feigning unawareness ("dead malice")
dédmahín	to ignore someone, to brush someone off
dekada	decade
dekano	dean
delikado	dangerous, risky; fastidious, delicate; crucial, critical; arduous
desintunado	out of tune; off key (also "sintonado")
despachadora	a saleslady
detálye	detail
dí-gaya	unlike
dí-kailangan	not needed, unnecessary
dí-kapaní-paniwalà	unbelievable; fishy, doubtful
di-malirip	cannot be understood
dí-mapakalí	not at peace, restless, fidgety, anxious, not able to stay still
di-mapalagay	uneasy, worried
di-mapigil	unstoppable
di-sanáy	unskilled, unused to
di-umanó	it is said, allegedly, they say, alleged (adj) (di-umanó'y)
dibdib	chest, bosom (do not use a hyphen!)
dibdibin	to brood over something
dighay	belch, burp
digma	war, warfare, battle
digmaan	the act of warring
digmain	to wage war on
diin	emphasizing, stressing, pressing, insisting
dikit	stick, adhere, paste
dikitán	to attach, stick
dilà	tongue
dilag	magnificence, gorgeousness, pomp
dilát	nakabukás ang mga talukap ng mata (mulat), hindi na hangal, may alám sa katotohanan
dilaw	yellow
dili	seldom, perhaps, perchance
dilidili	gunamgunam, pag-iisip, kuro
dilíg	watering (of plants); irrigation
diligán	to water something; to sprinkle with water
dimarim	disgust
din	too, also; (with adjective) pretty much / somewhat; finally; nevertheless, anyway, surely; in return
dingdíng	flimsy wall; wooden wall ("pader" is for a sturdy wall)
dinggín	to listen to, to hear (dinig)
dini	dito
diníg	audible
dinuguan	“bloodied” blood stew, meat dish
dinúmog	to mob, mobbed
dipa	fathom, length of both arms stretched out
dis-oras	at odd hours, very late
disényo	design
disgrasya	mishap
diskarte	resourcefulness, mojo, street smarts; appeal
ditse	the second eldest sister
diwà	essence, meaning; spirit; sense, central point, meaning
diwang	ceremony, celebration (prefer pagdiriwang)
pariwará	a person who leads others astray; tao na nagdudulot ng masamâng kapalaran sa iba
diwará	pagbabago ng kapalaran mula mabuti túngo sa masamâng kalagayan
diwatà	a muse, nymph, fairy (sanskrit origin) "commonly suggested as a native Tagalog name for girls."
diyan ka lang	stay put
diyosa	goddess
doon	there ("dun", "duon")
dúgas	paraan ng panlilinlang upang mapagsamantalahan ang ibang tao.
dugô	blood
duguan	bloody
dugyót	small and dirty
dumukdók	to slump
dukhâ	poor, needy, indigent, destitute
dukot	snatching; kidnapping; to pull something out
dúlak	dilát
duling	cross-eyed
dúlo	end, result; tip, point
dulot	offer, offering; bringing/brought about
dulugan	recourse
dulutan	to offer
dumaan	to pass by
