Anóng ginagawâ mo?	What are you doing?
Halos imposibleng gawin 'yan.	That's almost impossible to do.
Ano pang pwede ninyong gawin?	What else can you do?
Dapat palaging gawin ang tama.	You should always do what is right.
Ginawa ko iyon nang sarili ko.	I made it myself.
Imposibleng gawin kong ganoon.	It is impossible for me to do so.
Kaya mo ba talagang gawin ito?	Can you really do it?
Gawin mo ang sinabi ko sa iyo.	Do as I told you.
Kahapon pa ako walang ginagawa.	I haven't been busy since yesterday.
Pwede bang huwag mo gawin iyan?	Would you mind not doing that?
At bakit ko naman gagawin iyon?	And why would I do that?
