umbág	punch, hit
semplang	(semplang) rt_ [noun] sudden fall or tripping; crash
lapnós	(lapnos) [noun] peeled skin; burnt skin | [adjective] peeled off or burnt (usually skin)
suób	(suob) fumigating
lublób	submerged, sunken, buried (lit. or fig.) also lubóg
tabók	(tabok) a bucket or a bamboo tube shaped like a bucket; bucket; pail; vessel; tub;
suló	binti ng hayop; pagkasilaw; baluktot
magbatî	(bati) mag_ [verb] to become friends again
hakot	(hakot) rt_ [noun] load
damot	stinginess, selfishness
asiwà	(asiwa) rt_ [verb] to administer something
suray	(suray) rt_ [noun] sway; stagger
bulaan	(bulaan) rt_ [noun] liar; [adjective] deceitful
kalás	(kalas) rt_ [adjective] detached; removed; freed from
tahán	(tahan) rt_ [noun] ceasing; stopping; cessation; stopping crying
ligtâ	(ligta) rt_ [noun] omission
ligtaán	(ligta) _an [verb] to omit; to overlook; to forget
lusáw	(lusaw) [adjective] dissolved; melted;
agnás	(agnas) rt_ [noun] erosion; decomposition; melting
dampát	(dampat) rt_ [noun] the state of being sufficient or adequate; adequacy; sufficiency; enoughness;
tála	star
pawì	(pawi) rt_ [noun] relief (from pain, anger, sadness, etc.); removal
sumipót	(sipot) _um_ [verb] to show up; to arrive; to appear
namnamín	(namnam) [verb] to savor something
paróroonan	(doon) paCV_an [noun] destination
bakát	(bakat) rt_ [noun] trace; mark; scar; outline
malapot	(lapot) [adjective] thick (liquid); viscous; sticky; gummy;
kahahantungan	(hantong) kaCV_an [noun] the end result; stopping point; final resting place; the final result
sibát	spear, lance; [expression] to scram; to get out of here; to shoo; to jet
lagô	luxuriant growth
magmatyág	(matyag) mag_ [verb] to observe; to keep watch
kabado	(kaba) [adjective] in doubt; nervous; anxious; scared
masikmura	to be able to stomach something
malas	sight, view
magsadyâ	(sadya) mag_ [verb] to visit; to pay a visit to
ilag	(ilag) [noun] dodging; avoidance; evasion
matabunan	to take in, to absorb
sakláw	amount, extent, limits; precincts; range; sphere; comprehension
sungay	horn, antler
piling	"select" as in "piling na sasakyan lamang" "select vehicles only"
mapalunók	(lunok) mapa_ [verb] to swallow; to swallow involuntarily; to gulp
kilatisin	(kilatis) _in [verb] to evaluate something; to appraise something
paglilimas	(limas) pagCV_ [noun] act of bailing out water from a small boat, pond or pool
dangkal	span from tip of thumb to tip of middle finger
lababo	sink, washbasin (hugasan)
kaakibat	associate, associated with
kimkím	(kimkim) [noun] suppression (of anger or some other emotion); restraint
suplíng	offspring
muhì	(muhi) rt_ [noun] detestation
bungad	front, threshold
tuntóng	(tuntong) rt_ [noun] stepping on; getting in to
nakabinbín (binbin) naka_ [adjective] postponed
munì	(n) thinking logically and with reason
tanglawán	(tanglaw) _in [verb] to illuminate something
saplot	dirty or tattered clothes
sulpót	to emerge suddenly or unexpectedly
hinayang	(hinayang) rt_ [noun] regret for not having made use of some opportunity; sense of loss
kalám	hunger pangs
ibá	some (of)
sahol	(sahol) rt_ [adjective] inadequate
sumbát	(sumbat) rt_ [noun] rebuke; reproach; scold
mapapayag	(payag) mapa_ [verb] to convince
lagapák	(lagapak) [noun] thud; clatter; whacking sound
malagkít	(lagkit) [adjective] sticky; viscous
maulinigan (ulinig) ma_an [verb] to overhear something
agwát	(agwat) rt_ [noun] gap; chasm; distance; figurative gap
dagitin	(dagit) [verb] to snatch something; to seize something suddenly
goma	rubber
warì	assumption, opinion, estimation; seemingly, looks like, as, as if, apparently
lunggâ	burrow, hole, mouse hole, cave
gilas	(gilas) rt_ [noun] elegance; mettle; gallantry; mettle
sulyáp	(sulyap) rt_ [noun] glance; glimpse; eye glance
himas	(himas) rt_ [noun] caress; gentle touch; stroke
bagtás	trail through rough country; intersection
tapilók	(tapilok) [noun] stumble; falter; lose one's step; rolling one's ankle
usyoso (usisa) sp_ [adjective] onlooking; nosey; curious
salisi	alternately, in opposite directions
hablá	(habla) [noun] lawsuit; charge in court
luwáng	(luwang) rt_ [noun] width; breadth
maliputô	short-bodied person; jackfish; pike
luwát	tardiness, delay; a long time
saklób	concave lid; face-to-face
bantayog	monument
sáloobín	(loob) sa_in [noun] inner thoughts; attitude; disposition; thoughts
itiklóp	(tiklop) i_ [verb] to fold; to close (a book)
buklát	(buklat) rt_ [adjective] turned; open; opened
lawig	a length of time; a long duration (less commonly used than tagal)
hinay	(hinay) rt_ [noun] slowness
sanib	(sanib) rt_ [noun] overlapping; joining
lagô	(lago) rt_ [noun] growth
sakunâ	accident, mishap, calamity
gumon	(gumon) inclination or addiction to a vice; addiction; dependence; fixation;
kawal	soldier, follower, troops, pawn (chess)
patibóng	trap, booby trap
gulantáng	startled (gulat)
bintáng	(bintang) rt_ [noun] suspicion; charges; imputation; accusation; blame
kawad	wire, cable
humaling	(humaling) rt_ [noun] extreme fondness; great liking; obsession; fascination
sundót	poke, jab
kagipitan	(gipit) ka_an [noun] dire straits; adversity; emergency
lustáy	embezzle, also used to refer to general wasteful, excessive spending
pugnáw	(pugnaw) the act of destroying until something disappears or vanishes, usually by means of fire.; extinguish; annihilate; obliterate; erase;
tupók	burnt to ashes; nasunog at naging abó; sunóg na sunóg
lasapín	(lasap) [verb] to savor something; to experience something nice/pleasurable; to enjoy something
puksâ	(puksa) rt_ [adjective] exterminated; annihilated
tupî	(tupi) [noun] hem; fold; pleat; plait
katigan	(katig) _an [verb] to support something; to vote for something; to endorse something; to approve of something
dagán	(dagan) rt_ [noun] putting weight on something
ibalabal	(balabal) [verb] to wrap a towel or cloth around something
putong	crown, head covering, turban
tanyág	(tanyag) [adjective] celebrated; distinguished; famous; well-known; eminent; illustrious;
iláng	(ilang) rt_ [noun] desert; wasteland; wilderness; uneasiness [adjective] desolate; uneasy
lambák	valley
baku-bakô	rough, uneven, rugged, not level
habas	prudence, discretion
pabalagbag	(balagbag) [adverb] cross; crossing
kalálabasán	(labas) kaCV_an [noun] outcome; end result
banatan	(banat) _an [verb] to attack someone; to beat up someone
hambalang	(hambalang) [adjective] fallen across; strewn around
angas	a show-off, boastful person
balagtás	direct statement without circumlocution; shortcut; crossing a street/road
dausdós	(dausdos) [noun] slide; sliding down; getting by
perwísyo	damage
tunggalî	(tunggali) rt_ [noun] conflict; argument
aninag	(aninag) rt_ [adjective] visible; translucent; transparent;
gusót	(gusot) rt_ [adjective] wrinkled; wrinkly; tangled; crumpled; [noun] trouble; entanglement; problem;
ngatál	(ngatal) rt_ [noun] shivering; shivers from fear or being cold
atupag	chore, thing to do, task, occupation
mapalâ	(pala) ma_ [verb] to be gained; to profit
sabát	(sabat) rt_ [noun] butting into the talk of others; unexpected answer; interruption
pakipot	(kipot) pa_ [adverb] pretending to be uninterested or not caring
hagilap	(hagilap) [noun] trying to get hold of; trying to grasp at
gipít	(gipit) rt_ [adjective] desperate; scarce; pressed; pressured
galugad	(galugad) [noun] scouring for something
humimig	(himig) _um_ [verb] to sing a tune; to croon
tapík	(tapik) [noun] pat; tap
magoyò	(goyo) ma_ [verb] to be swindled; to be scammed
tangkilik	(tangkilik) rt_ [noun] patronage; support; backing; help; auspices (tagúyod)
naglipanà	(lipana) nag_ [adjective] widespread
pamantásan	university
buhong	(buhong) [noun] villain; wicked person
banás	(banas) 1.) rt_ [noun] humidity; 2.) [adjective] annoyed
puwera	not included, except, excepted
kudâ	chatter; blabber
kundángan	because of; due to the fact that; respect, consideration, veneration, reverence (kung + dangan)
pitágan	deference
makalap	(kalap) ma_ [verb] to be able to recruit; to be able to gather information or data
lirip	(lirip) rt_ [noun] meditation (to know the truth or worth of a thing or event)
salik	component, part, constituent, ingredient; cause, motive, factor
talastasan	(talastas) _an [noun] communication
ipot	droppings of fowls and small animals
lagom	(lagom) rt_ [noun] the act of encompassing all things; the consolidation of everything into one; consolidation; amalgamation; unification; convergence;
peryahan	(perya) _an [noun] fair; exhibition; carnival
lubák	pothole, hollow in the ground
mauntóg	(untog) ma_ [verb] to accidentally bump one's head
lagabláb	flame
piglás	(piglas) rt_ [noun] struggle to get free
pangkát	(pangkat) rt_ [noun] group; section; division; band; chapter; article; faction; gang; segment; clique; cohort; team
kalong	(kalong) [adjective] held in the lap
balisóng	fan knife, butterfly knife
magâ	(maga) rt_ [adjective] swollen; inflamed; bloated; infected; abscessed
bulabog	(bulabog) rt_ [noun] disturbance
hinuhà	deduction, inference
dumako	(dako) _um_ [verb] to move on; to arrive at; to land (arrive/be placed)
patláng	(patlang) rt_ [noun] blank; interval; space between; gap; pause
bubog	pieces of shattered glass
dawit	(dawit) rt_ [noun] entanglement
panghimagas	(himagas) pang_ [noun] dessert
salamuha	act of mingling with people, hobnobbing, talking intimately with
magkumpuní	(kumpuni) mag_ [verb] to repair
talyér	repair shop
matauhan	(tao) ma_an [verb] to regain consciousness; to revive; to come to one's senses
sapín	(sapin) rt_ [noun] cushion; cushioning; under layer
bungô	skull, cranium
dumurâ	(dura) _um_ [verb] to spit
angal	(angal) rt_ [noun] howling cry; bellow; severe crying
impók	(impok) rt_ [noun] (the act of) saving up
talima	(talima) rt_ [noun] obedience or compliance in carrying out commands or requests made; obedience; compliance; conformity; observance;
kalingà	(kalinga) [noun] patronage; support; care; [adjective] caring
lapastangan	(lapastangan) [adjective] profane; abomination; irreverent; sacrilegious
kasibulan	(sibol) [noun] bloom
lingap	(lingap) rt_ [noun] mindfulness of something; compassionate care
hinanakít	(sakit) hinang_ [noun] grievance; ill will; grudge; displeasure
budhî	conscience, sense of right and wrong (konsiyensiya)
ilapág	(lapag) i_ [verb] to put something on the floor; to lay something down; to lay something out; to put something down; to deposit something
lipon	(lipon) rt_ [noun] crowd; gathering
lubayán	(lubay) _an [verb] to ease up on; to stop joking/insulting someone; to give some slack; to give someone a break
