# expressions when angry
napaka-antipatiko mo	you are so displeasing
I can't help you	hindi kita matutulungan
you're a big mistake	isa kang malaking pagkakamali
I'm having a bad day	ang sama ng araw ko
I'm not sure	hindi ako sigurado
call another day	tumawag ka sa ibang araw
I'd like to help but...	gusto kong sanang tumulong subalit...
I shouldn't be here	hindi dapat ako nandito
it's your fault	kasalanan mo
you should be blamed	ikaw dapat ang sisihin
why not?	bakit hindi pwede?
so what?	ano ngayon?
I'm angry	galit ako
I'm sad	nalulungkot ako
I'm disappointed	nawalan na 'ko ng gana
you're ugly	ang pangit mo
you had a bad attitude	ang sama ng ugali mo
that's not simple	hindi yan simple
you're dumb	ang bobo mo
she's sarcastic	mapang-uyam siya
he's so boastful	ang yabang niya
very displeasing	napaka antipatiko
unbelievable	hindi kapani-paniwala
I'm not serious	hindi ako seryoso
you're a liar	sinungaling ka
I don't want to see you again	ayaw na kitang makita muli
I don't want to hear it again	ayaw kong marinig 'yan ulit
I'm not informed	hindi ako napagsabihan
I don't want to do it	ayaw kong gawin iyon
I'm giving up	suko no ako
I can't do that	hindi ko kayang gawin 'yan
I can't hear you	hindi kita marinig
I can't see you	hindi kita makita
I don't have feelings for you	wala akong gusto sa 'yo
you shut up	tumigil ka
I hate noise	ayaw ko sa maingay
I don't need you	hindi kita kailangan

title: solving misunderstandings	paglutas sa hindi pagkakaunawaan
sorry	pasensiya na, paumanhin, patawad
I beg your pardon	pakiulit po
no problem	wala 'yon
can you repeat please?	pwede bang pakiulit?
can you speak slowly?	pwede bang sabihin mo nang dahan-dahan?
can you write it down?	pwede mo bang isulat?
did you understand what I said?	naintindihan mo ba ang sinabi ko?
I don't understand	hindi ko maintindihan
I don't know	hindi ko alam
I don't want to know	ayaw kong alamin
who knows about it?	sino ang nakakaalam noon?
can you tell it to her?	pwede mo bang sabihin iyon sa kaniya?
I felt guilty	nakokonsiyensya ako
I want her to forgive me	gusto kong patawarin niya ako
can you forgive me?	mapapatawad mo ba ako?
I made wrong	nagkamali ako
you owe me	may utang ka sa akin
I owe you	may utang ako sa iyo
I owe you my life	utang ko sa iyo ang buhay ko
please forgive me	patawarin mo ako
let me think of it	pag-iisipan ko
don't worry	huwag kang mag-alala
I agree with you	sumasang-ayon ako sa 'yo
is that right?	tama ba 'yon?
I guess so	sa tingin ko
is that wrong?	mali ba 'yon?
what should I do?	ano ba ang dapat kong gawin?
please advise me	pakiusap, payuhan mo ako
just a moment	saglit lang
you can do it	kaya mo 'yan
reconcile	makipagbati
you tell everything	sabihin mo ang lahat
talk to her	kausapin mo siya
I forgive you	pinapatawad na kita
I'm sorry too	patawad din
I will never do it again	hindi ko na ulit 'yun gagawin
