in my estimation...	sa tantiya ko..
I have a request.	May pakiusap ako.
all of the time (always)	sa lahat ng oras
if I'm not mistaken	kung hindi ako nagkakamali
I wish I could	sana kaya ko
disgusting!	kadiri
I'm screwed	lagot/patay/hala!
can I have some	pahingi
can you do me a favor?	makikisuyo
can I see?	patingin
please return it	pakisauli
come in	tuloy/pasok
exactly!	mismo!/eksakto!
ups and downs	tagumpáy at kabiguán
neither you nor I	ni ikaw ni ako
I'll be back soon	balik ako agad
I'm just about to..	malapit na akong..
I'm just about to leave	aalis pa lang ako
It's only three o'clock	alas tres pa lang
I just finished	katatapos ko pa lang / kakatapos ko lang
I got/am lost	nawala ako
how should I know?	málay ko
you never know	málay mo
that's good to hear	mabuti naman kung ganoon
we'll see	titingnan natin
downtown	sa bayan
every corner (fig)	lahat ng sulok
I heard...	balita ko..
you should be	dapat lang
don't worry about it	wag mong alalahanin
did it work?	gumana ba?
what is that for?	para saan naman iyan?
says who?	sabi ninó?
I just woke up	bagong gising ako
I'll figure it out.	Aalamin ko muna.
congratulations	binabati kita
no kidding	puwera birò
yes, for sure!	oo ba
sorry to bother you	paumanhin sa abala
I just hope...	sana nga lang...
too many to count	hindí mabilang
it took me more than two hours to...	Inabot ako ng mahigit dalawang oras sa <infinitive verb>
I just don't get you (wtf/smh)	ewan ko sayo
even from the start..	kahit noong una..
I just started	kakaumpisa ko lang
it's over	yarí na
what about..	paano naman..
the ins and outs of..	ang pasíkot-sikot sa..
srsly?	'di nga?
"you never know"	hindi mo alam
How much longer will it take?	Gaano pa katagál?
I already did that..	Gawin ko na..
I am counting on you.	umaasa ako sa iyo.
I don't think so	hindi yata
I stayed out late	ginabi ako
I would rather have X	mas gusto ko sana X
I'm bored	nababagót ako
I'm telling you...	sinasabi ko sa iyó...
In my opinion / I think..	sa akala ko..
let's find out	ating alamin
Let’s talk.	Mag-usap tayo.
Returned to what it was before.	Bumalik sa dati.
There seems to be no one here.	Walâ yatang tao.
This is not mine.	Di akin ito.
a few days ago	noong nakalipas na mga araw
all day, the whole day	maghapon
are you high?	bangág ka ba?
are you sure about that?	sigurado ka ba diyan?
as much as possible	hangga't maaari
ask me another time.	sakâ mo na ako tanungin
at first/initially	noóng una
at that time	noóng panahóng iyón
at this time (of day)	ganitong oras
eventually, after a while	sa kalaunan
eventually; in time	nang lumaon
ever since	sapúl pa noon
for a change	máibá namán
fully/completely	nang ganap
good for you	buti ka pa
how long have you been here?	gaano ka na tagal dito?
how would I know?	malay ko ba?
if you think about it...	kung tútuusín
in the end, eventually	sa hulí
in the past/old times, back in the day	noóng araw
in these times..	sa mga panahong ito..
in your dreams!	tulog mo 'yan!
it was not long / it didn't take long	hindi naglaon
it's mine	akin ito
just now, recently, etc.	kamakailán lang
likewise	gayon din naman
not more than	hindi hihigit
or so, more or less	humigit-kumulang
please give me some slack	pagbigyán mo naman ako
puhlease!	pwede ba!
put that aside	tabi mo yan
similarly, in the same way	paré-pareho
since five o'clock	noon pang alas singko
since last friday	mula pa noong biyernes
since then	mulâ noón
it seems that/seemingly..	bale...
some other time	sakâ na (lang)
that's exactly why	kayá ngâ
that's me	ako iyon
the other day	noong isang araw
there you go again	ayan ka na naman
we'll see...	titignan natin
what now?	paano na?
will come to nothing	mauuwî sa walâ
yes, for sure	oo ba
you have nothing to lose	walâ namáng mawawalâ sa iyó
who wants some?	sino ang may gusto?
see you later	magkita tayo mamaya
don't beat around the bush	huwag ka nang magpaliguy-ligóy pa
beware of the dog	ingat sa aso
you're something else	naíibá ka rin
I won't put up with that.	Wala akong pasensya diyan.
as long as..	basta, hanggá't, yamang
I have no idea.	Walang kamuwáng-muwáng ako.
at the height of..	sa kasagsagán (man) ng..
before December	bago mag Decembre
the last few days	nitong mga nakaraang araw
I just got your message.	Bago ko lang natanggap ang iyong mensahe.
the vast majority	higit na marami
who am I to you?	ano mo ba ako?
