Greeting	Pagbatì
How do you say "thanks" in Tagalog?	Paano mo sasabihing "thank you" sa Tagalog?
What is this?	Anó 'to?
My Tagalog is bad	Ang pangit ng Tagalog ko
Don't worry!	Huwag mag-alalá
I agree with you	Naniniwalà akó sa'yó
Is that right?	Tamà ba'yón?
Is that wrong?	Malî ba'yón?
What should I say?	Anóng dapat kong sabihin?
I just need to practice	Kailangan ko lang magpraktis
Your Tagalog is good	Okey ang Tagalog mo
I have an accent	May puntó ako
You don't have an accent	Wala akong puntó
Asking for Directions	Paghingì ng Tulong at Direksyón
Excuse me! (before asking someone)	Magtatanong lang pò
I'm lost	Nawawalà akó
Can you help me?	Pwede bang tulungan mo akó?
Can I help you?	Pwede bang tulungan kitá?
I'm not from here	Hindî ako tagá rito
How can I get to (this place, this city)?	Paano akó makakapuntá (sa lugár na itó/ sa bayang itó)
Go straight	Direcho lang
Then	Tapos
Turn left	Lumikô sa kaliwâ
Turn right	Lumikô sa kanan
Can you show me?	Pwede bang ipakita mo sa'kín?
I can show you!	Ipapakita ko sa'yo!
Come with me!	Halika, sumama ka sa'kín
How long does it take to get there?	Gaano katagál bago makaratíng doón?
Downtown (city center)	kabayanan
Historic center (old city)	lumang lungsod
It's near here	Malapit lang 'yan dito
It's far from here	Malayô 'yan dito
Is it within walking distance?	Pwede bang lakarin?
I'm looking for Mr. Smith	Hinahanap ko si Mr. Smith
One moment please!	Teka munà
Hold on please! (when on the phone)	Teka munà, huwag mong ibababâ
He is not here	Walâ siyá rito
Bus station	Terminal ng bus
Train station	Terminal ng tren
Near	Malapit
Far	Malayò
Emergency Survival Phrases	Mga katagáng pang-emergency at pangkaligtasan
Help!	Saklolo!
Stop!	Hintô!
Fire!	Sunog!
Thief!	Magnanákaw!
Run!	Takbó!
Watch out! (or: be alert!)	Alerto!
Call the police!	Tawagan ang pulís!
Call a doctor!	Tawagan ang doktór!
Call the ambulance!	Tawagan ang ambulansya!
Are you okay?	Okey ka lang?
I feel sick	Masama ang pakiramdám ko
I need a doctor	Kailangan ko ng doktór
Accident	Aksidente
Food poisoning	Pagkakalason
Where is the closest pharmacy?	Saán ang pinaka malapit na botika?
It hurts here	Dito masakít
It's urgent!	Ngayón na!
Calm down!	Relax lang!
You will be okay!	Magiging okey ka rin!
Can you help me?	Pwede bang tulungan mo akó?
Can I help you?	Pwede bang tulungan kitá?
Hotel Restaurant Travel Phrases	Mga Katagang Para sa Hotel, Kainan at Paglalakbay
I have a reservation (for a room)	Naka-reserve akó
Do you have rooms available?	May bakanté ba kayóng kwarto?
With shower / With bathroom	May shower / may CR
I would like a non-smoking room	Gustó ko ng non-smoking room
What is the charge per night?	Magkano ang bayad kada gabí?
I'm here on business /on vacation	Nandito akó para sa negosyo/para sa bakasyón
Dirty	Madumí
Clean	Malinis
Do you accept credit cards?	Tumatanggáp ba kayó ng credit card?
I'd like to rent a car	Gustó kong umarkilá ng kotse
How much will it cost?	Magkano?
A table for (one / two) please!	Pakisuyò nga ng mesa para sa (isá/dalawá)
Is this seat taken?	May nakaupô na ba dito?
I'm vegetarian	Vegetarian akó
I don't eat pork	Hind akó kumakain ng baboy
I don't drink alcohol	Hindî akó umiinóm ng alak
What's the name of this dish?	Anóng tawag sa ulam na’tó?
Can we have the check please?	Pakisuyô nga ang check
It is very delicious!	Napakasaráp nitó!
I don't like it	Ayoko nitó
Shopping Expressions	Mga Katagáng pang-shopping
How much is this?	Magkano itó?
I'm just looking	Tumitingín lang akó
I don't have change	Walâ akóng panuklî
This is too expensive	Ang mahál naman nitó
Expensive	Mahál
Cheap	Mura
Daily Expressions	Sarì-saring mga Pahayag
What time is it?	Anóng oras na?
It's 3 o'clock	Alás tres na
Give me this!	Ibigáy mo sa'kín ‘to!
Are you sure?	Sigurado ka?
Take this! (when giving something)	Tanggapin mo 'tó!
It's freezing (weather)	Napakagináw
It's cold (weather)	Magináw
It's hot (weather)	Maiinit
Do you like it?	Nagustúhan mo bá?
I really like it!	Gustóng-gustó ko’ tó!
I'm hungry	Gutóm na akó
I'm thirsty	Nauuhaw akó
He is funny	Nakakatawá siyá
In The Morning	Sa umaga
In the evening	Sa gabí
At Night	Sa gabí
Hurry up!	Bilís!
This is nonsense! (or: this is craziness)	Kalokohan ‘to!
My God! (to show amazement)	Susmaryosep!
Oh gosh! (when making a mistake)	Nakú!
It sucks! (or: this is not good)	Ang pangit!
What's wrong with you?	Anó bang problema mo?
Are you crazy?	Balíw ka ba?
Get lost! (or: go away!)	Layas!
Leave me alone!	Hayaan mo munà akóng mag-isá!
I'm not interested!	Hindî akó interesado
Dear John	Mahál kong John
My trip was very nice	Ang gandá ng byahe ko
The culture and people were very interesting	Ayos ang kultura at ang mga tao
I had a good time with you	Nag-enjóy ako noong kasama kitá
I would love to visit your country again	Nais kong bumalík ulít sa bansâ mo
Don't forget to write me back from time to time	Huwág mo sanang kalimutang lumiham sa akin paminsan-minsan
Short Expressions and words	Mga Maiikling Pahayag at Salita
Good	Magandá
Bad	Pangit
So-so (or: not bad not good)	Medyo
Big	Malakí
Small	Maliít
Today	Ngayóng araw
Now	Ngayón
Tomorrow	Bukas
Yesterday	Kahapon
Yes	Oo
No	Hindî
Fast	Mabilís
Slow	Mabagal
Hot	Mainit
Cold	Malamíg
This	Itó
That	Iyón
Here	Dito
There	Doón
Me (ie. Who did this? - Me)	Akó
You	Ikáw
Him	Siyá
Her	Siyá
Us	Tayo
Them	Silá
Really?	Talagá
Look!	Tingnán!
What?	Anó?
Where?	Saán?
Who?	Sino?
How?	Paano?
When?	Kailán?
Why?	Bakit?
Zero	walâ
One	Isá
Two	Dalawá
Three	Tatló
Four	Apat
Five	Limá
Six	Anim
Seven	Pitó
Eight	Waló
Nine	Siyám
Ten	Sampû
