(mga) baryá	coins
Ako mismo ang pumunta doon.	I myself went there.
Ako na naman?	Me again?
Akó rin.	Me too.
akó: panghalip panaong isahan, unang panauhan, nása kaukulang palagyo,	at ginagamit ng tagapagsalita upang tukuyin ang kaniyang sarili
Ako’y dumanas ng hirap.	I experienced hardship.
Ako’y dumanas ng hirap.	I experienced hardship.
Ako’y isang hamak lamang, isang taong lupa ang katawan.	I’m just a wretch, a person whose body is made of earth.
Ako’y litong-lito.	I’m very confused.
Ako’y munting tinig	I am but a small voice
Akong sasalubong sa iyo!	I’ll be the one to come out and welcome you.
Akong-ako ‘yun.	That is so me.
akyat, baba	“up and down”
alaála ng lumipas	memory of the past
alaga	to care for, to protect
alagà	ward
Alagaan mo ako.	Take care of me.
Alagaan mo ang mga bata.	Take care of the children.
alagad	follower, disciple
alagang pusa	pet cat
alahas	jewels, jewelry
alahasan	jewelry store
Alalahanin mo, mahalaga ito.	Remember, this is important.
alalahanin	cause of worry
alalahanin	think about, take into consideration
alalahanin	to recall, remember
alám (pang-uri): kilala, talos, batid, tanto, talastas, tatap, tarok,	taho; nauunawaan, naiintindihan, namamalayan, nararamdaman, nadarama
Alám ko. Alám mo ba?	I know. Do you know?
Alam ko.	I know.
Alám ko.	I know.
Alam mong tama ako.	You know I’m right.
Alam ng madla.	The people know.
Alamát lang daw iyan.	They say that’s just a myth.
Alamat ng Ibong Adarna	Legend of the Adarna Bird
alamin	to find out, to investigate
alás na espada	ace of swords
alas onse	eleven o’clock
alas singko	five o’clock
alás	ace
alat	saltiness
Alay ko ito sa iyo.	This is my offering to you.
Alay: paghahandog ng mga bulaklak sa Mahal na Birhen kung Flores de	Mayo
alikabok	dust
Alin ang atin?	Which is ours?
Alin ang gusto mo?	Which do you like?
Alin ang higit na mahalaga?	Which is more important?
Alin ang mas maganda?	Which is prettier?
Alin ang mas mahusay?	Which is better?
Alin ang mas marasap?	Which is more delicious?
Alin dito ang pinakamainam?	Which of these is the best?
Alin dito?	Which one here?
Alin sa mga ito?	Which one of these?
Alin, Alin, Alin ang naiba?	Which, Which, Which is different from the rest?
Aling pulseras ang bagay sa damit na ito?	Which bracelet goes well with this dress?
alipin ng pag-ibig	slave of love
alipin	slave
Alipinin mo ako.	Make me (your) slave.
alipinin	to enslave
Alis!	Scram!
alítan: matinding hidwaan o hindi pagkakaunawaan, karaniwang nagaganap	sa mga tao na may magandang ugnayan
alituntunin, tuntunin, reglamento, patakaran; dekreto, ordenansa,	kautusan; mando, utos, mandamyento
All smoke in the kitchen	So much talking…
almá: pagtayô, karaniwang gamit ang unaháng mga paa, gaya ng sa kabayo,	dahil sa tákot, gálit, at katulad
alók	offer, bid
Also see: tapsilog, tinapa	Tapsilog Tapsilog Tapsilog with sliced cucumbers
Also, padyak is a colloquial term for a pedicab whose driver uses leg	muscle power to propel thevehicle.
Alukín mo sila ng tubig.	Offer them water.
alukín	to offer
amá: sinumang ninunong laláki, lalo na ang nagtatag ng isang lipi,	lahi, o angkan
ama-amahan	foster father
ambág	contribution
ambagan ng pera	contribute money
ambagan	contribution by several
ambagán	to contribute
Ámboy: masugid na tagahanga at tagasunod ng kultura at politika ng	Estados Unidos
Amin ito.	This belongs to us. (but not you)
amin	ours (exclusive)
Among popular commerical brands of vinegar in the Philippines are Datu	Puti, Silver Swan and Marca Piña.
amoy pawis	to smell of perspiration
amoy	smell, odor
amoy-araw	smell of sweat after being in the sun
amoy-lupa	“smells of dirt” = an old person
amuin	to tame
Amuyin mo ako.	Smell me.
Amuyin mo ang kili-kili.	Smell the armpit.
amuyin	to smell
An adjutant a military officer who acts as an administrative assistant	to a senior officer.
anak na babae	daughter
anak na lalake	male child
anak na lalake	son
anak ng dagat	child of the sea
anak ng dilim	child of darkness
anak sa labas	illegitimate child
anak sa labás	illegitimate child
anák	someone’s child
anak-mayaman	person born to wealth
andun (nandoon)	is there
Ang [66]Aso at ang Uwak ay isang halimbawa ng pabula. The Dog and the	Crow is an example of a fable.
Ang ‘habagat’ ay hanging mula sa timog. Ito ay nagdadala ng malalakas	na pag-ulan kadalasan mula Mayo hanggang Agosto.
Ang “e” ay ang ikalimang letra ng abakadang Pilipino.	“E” is the fifth letter of the Filipino alphabet.
Ang aga mo!	You’re so early!
Ang aga nila!	They’re so early!
ang aking amá	my father
ang aking bunsô	my youngest child
ang aking ina	my mother
ang aking mga kababayang Pilipino	my fellow Filipinos
ang aking sandatang ilang buwan na ring hindi nagagamit	my weapon, which hasn’t been used for a few months too
ang aking sarili	my own self
ang aking tahanan	my home
ang aking tatay	my Dad
Ang akyat-bahay ay magnanakaw.	A burglar is a thief.
Ang Alamát ng Ibong Adarna	The Legend of the Adarna Bird
Ang Alamát ng Pinya	The Legend of the Pineapple
Ang alay ko sa iyo ay ang pagmamahal ko.	What I offer you is my love.
Ang ama ko’y presidente ng Pilipinas.	My father’s the president of the Philippines.
ang aming bahay	our house
ang among pinaglilingkuran ko	the employer that I am serving / working for
ang amoy ng kili-kili	the odor of underam
ang araw at ang buwan	the day and the month
ang araw at ang buwan	the sun and the moon
ang araw at buwan	the day and month
ang araw at buwan	the sun and moon
Ang Araw ng mga Bayani ay ipinagdiriwang tuwing Agosto 26.	The Day of Heroes is celebrated every August 26th.
Ang ari-arian ay binahagi sa mga tagapagmana.	The property was portioned out among the heirs.
Ang asim nito!	This is so sour.
Ang asin ay maalat.	Salt is salty.
ang ating bansa	our country
Ang bagal ng mga sasakyan.	The vehicles are so slow!
Ang Bagsik ni Jose	The Harshness of Joseph
Ang baho ng hiningá mo!	Your breath stinks!
Ang baho ng kilikili mo.	Your armpit stinks!
Ang barkó ay nawala sa dagat.	The ship disappeared in the ocean.
ang batang sanggol	the infant child / young baby
ang bawat lahat ng gusto mong sabihin	everything you want to say
ang bayang api	the oppressed country
Ang baybayin ay binubuo ng labimpitong (17) simbolo na kumakatawan sa	mga titik: 14 katinig at 3 patinig.
Ang bigát mo!	You’re so heavy!
ang bilanggo	the captive
Ang bilis mo!	You’re so fast.
ang bituin	the star
Ang bugtong ay isang palaisipan.	A riddle is a mind puzzle / mind teaser.
Ang buhay ay parang paglalakbay.	Life is like a journey.
ang búhay mo	your life
ang bunsong anak nila	their youngest child
ang buwan at mga bituin sa langit	the moon and the stars in the sky
Ang buwan ay bilóg.	The moon is round.
ang buwan ng [66]Agosto	the month of August
Ang dagat ay isang malaking anyong tubig na mas maliit sa karagatan.	The sea is a large body of water that’s smaller than an ocean.
Ang dagtâ ng puno ay ipinapahid sa anit.	The tree sap is spread on the scalp.
ang damdamin ko sa iyo	my feelings toward you
ang damdamin ko	my feelings
Ang dami mong alahas!	You’ve got a lot of jewelry!
Ang daming tao dito!	There are a lot of people here.
Ang daming tao!	So many people!
ang dáting presidente	the ex-president
Ang dilim!	It’s so dark!
Ang Diyos at ang kanyang mga nilkha	God and all he created
Ang drayber.	The driver.
Ang gabing ating pinakahihintay.	The night we’ve been waiting for the most.
Ang galíng mong mag-tenis.	You play tennis so well.
Ang galing mong manghiya ng tao.	You’re good at shaming people.
Ang ganda n’ya!	She’s so pretty!
Ang ganda ng binti mo.	Your legs are so beautiful.
Ang ganda ng bulaklak.	The flower is beautiful.
Ang ganda nito.	This is beautiful.
Ang gulo!	So much disorder!
Ang gusto ko lang pong gantimpala ay masarapan kayo sa pulburon ko.	The only reward I want is that you all find my polvoron delicious.
ang gusto ko	what I want
Ang husay mo!	You’re so skillful.
ang ibang mga pamilya	other families
Ang iingay nila!	They’re so noisy!
ang ina ko	my mother
Ang inam ng kilos!	How elegant the bearing!
Ang ingay ng kapitbahay ko.	My neighbor’s so noisy.
ang inyong bahay	your house (speaking to more than one person)
ang ipinagbibili	the stuff being sold
Ang Isla sa Dúlo ng Mundo	The Island at the End of the World
ang iyong bahay	your house (speaking to one person)
ang iyong mga labì	your lips
ang iyong mga mata	your eyes
ang iyong mukha	your face
Ang iyong pagsagot	Your act of answering
Ang kabaligtaran ng matapang ay duwag.	The opposite of brave is cowardly.
Ang kabarkada ay masarap kasama.	It feels great to be with chums.
ang kabayo	the horse
Ang kalahati ng sampu ay lima.	Half of ten is five.
ang kalapati at uwak	the dove and raven (of Noah’s ark)
ang kamay mo sa balikat ko	your hand on my shoulder
ang kanilang bahay	their house
Ang kanilang dugo ay dumanak nang walang kabuluhan.	Their blood flowed senselessly.
ang kanilang pagtanggi na may nangyari	their denial that something happened
Ang kanta ng mga kuliglig na may tungkuling magbantay sa gabi ang huli	kong narinig.
ang kanyang kamay	her/his hand
Ang karamihan ng tao ay mahihirap.	Most people are poor.
ang karapatan sa sariling pagpapasya	the right to self-determination
Ang kasalukuyang namumunong partido pulitikal sa Pilipinas ay ang… The	current ruling party in the Philippines is the…
Ang kasalungat na salita ng labas ay loob.	The opposite word of outside in inside.
Ang kasalungat na salita ng mali ay tama.	The opposite word of wrong is right.
Ang kasalungat na salita ng sarado ay [66]bukas.	The opposite word of closed is open.
Ang kasalungat na salita ng tambalan ay payak.	The antonym of the word compound is the word simple.
Ang kasalungat ng bágo ay pagkatapos.	The opposite of before is after.
Ang kasalungat ng ilalim ay itaas.	The opposite of under is above.
Ang kasalungat ng itim ay puti.	The opposite of black is white.
Ang kasalungat ng kaliwa ay kanan.	The opposite of left is right.
Ang kasalungat ng lumà ay bago.	The opposite of old is new.
Ang kasalungat ng mabuti ay masama.	The opposite of good is bad.
Ang kasalungat ng magaan ay mabigat.	The opposite of light is heavy.
Ang kasalungat ng malambot ay matigas.	The opposite of soft is hard.
Ang kasalungat ng masamâ ay [67]mabuti.	The opposite of bad is good.
Ang kasalungat ng mataba ay payat.	The opposite of fat is thin.
Ang kasalungat ng mayaman ay mahirap.	The opposite of rich is poor.
Ang kasalungat ng payat ay mataba.	The opposite of thin is fat.
Ang kasalungat ng salita ng [67]dito ay doon.	The opposite of the word here is there.
Ang kasalungat ng salitang bagal ay bilis.	The antonym of the word slowness  is speed.
Ang kasalungat ng salitang bigát ay gaan.	The opposite of the word heaviness is lightness.
Ang kasalungat ng salitang bilis ay bagal.	The opposite of the word speed is slowness.
Ang kasalungat ng salitang bilog ay kuwadrado.	The opposite of the word round is square.
Ang kasalungat ng salitang dagdág ay bawas.	The opposite of the word increase is decrease.
Ang kasalungat ng salitang lamig ay init.	The opposite of the word coldness is hotness.
Ang kasalungat ng salitang likód ay harap.	The opposite of the word back is front.
Ang kasalungat ng salitang mahina ay malakas.	The opposite of the word weak is strong.
Ang kasalungat ng salitang masaya ay malungkot.	The antonym of the word happy is sad.
Ang kasalungat ng salitang matanda ay bata.	The opposite of the word old is young.
Ang kasalungat ng salitang panlahat ay tiyak.	The antonym of the word general is specific.
Ang kasalungat ng salitang tulog ay gising.	The opposite of the word sleep is wake.
Ang kasulungat ng hila ay tulak.	The opposite of pull is push.
Ang kasulungat ng tulak ay hila.	The opposite of push is pull.
ang kasunod na buwan	the following month
ang katawan mo	your body
Ang katindigan ay isang dahilan ding nagdudulot ng kirot sa balikat.	Posture is also a cause for shoulder pain.
Ang katiwalian ay isang talamak na sakit ng lipunan.	Corruption is a serious disease of society.
Ang kulit niya!	He/She just keeps nagging me, bothering me.
Ang kyut nung beybi.	The baby was cute.
ang lahing kayumanggi	the brown “race”
Ang lakas ng bahing mo!	Your sneeze is so strong (=loud).
Ang laki!	So big!
Ang lalim!	So deep!
ang lapis niya	his/her pencil
ang lawing lumilipad	the flying hawk
ang leon at ang dagâ	the lion and the mouse
Ang liit naman nito!	How small this is!
Ang liit!	How small!
ang likas at pangunahing karapatan at tungkulin ng mga magulang	the natural and primary right and duty of parents
Ang Lingkod ng Panginoon	The Servant of the Lord
Ang Lumang Kúmot ni Lola	Grandmother’s Old Blanket
ang lumang simbahan	the old church
Ang lungkot ng mukha mo.	Your face is so sad.
Ang lupit mo.	You’re so cruel.
Ang lupit mo.	You’re so cruel.
ang magaganda mong mga matá	your beautiful eyes
Ang Mamatay Nang Dahil Sa ‘Yo	To Die Because of You
ang matá ng bagyo	the eye of the storm
Ang Matatag na Sundalong Lata	The Steadfast Tin Soldier
Ang mga bugtong ay isang bahagi ng ating kultura na hindi nakuhang	ibaon sa limot ng mga banyaga.
Ang mga butil ay maaaring mainit o malamig.	Cereals can be hot or cold.
ang mga karapatan ng mga katutubong pamayanang kultural	the rights of indigenous cultural communities
ang mga karapatan ng mga manggagawa	the rights of workers
ang mga katutubo	the natives
ang mga lampara	the lamps
ang mga may-gulang	the adults
ang mga pandak	the midgets
ang mga puntong sanggunian	the reference points
ang mga tagarito	those from here
ang mungkahing naririnig ko	the suggestion I heard
Ang Munting Prisipeng Pilay	The Little Lame Prince
ang nagsamantala	the one who took advantage
Ang nais ko ay makasama ka.	What I want is to be with you.
Ang nais ko ay…	What I want is…
ang nakabaril	the shooter
ang nanay niya	his/her mother
ang paborito niya	his/her favorite
ang padyak ng paa	the foot-stomping
Ang pag-aalaga sa kapaligiran ay napaka-mahalaga.	Protecting the environment is very important.
ang pag-aalay ng bulaklak sa Birheng Maria	the offering of flowers to the Virgin Mary
Ang pagbibigay ng pangunahing pangangailangan sa mga nasalanta ng bagyo	ay isang uri ng bukas palad na pagtulong sa kapuwa.
ang pagbunyag ng katotohanan: the exposure of the truth (revealing the	truth)
Ang Pagdukot	The Abduction
ang paghuni ng mga ibon	the chirping of birds
ang pag-ibig na inalay ko sa iyo	the love that I gave you
Ang pag-ibig parang bayad sa dyipni. Minsan, hindi nasusuklian.	Love is like jeepney fare. Sometimes you don’t get anything back.
Ang pag-ibig parang sakit. Tatamaan ka sa panahong hindi mo inaasahan.	Love is like a sickness. It’ll hit you at a time you don’t expect it.
ang pag-inom	the act of drinking
Ang pagkakaroon ng kuryente ay mahalaga.	Having electricity is important.
Ang pagkakaroon ng pera ang hangad ko.	Having money is my wish.
ang paglalahad ng datos	the presentation of data
ang pagpadyak ng mga paa	the stomping of feet
ang pagpintig ng puso	the beating of the heart
ang pagsiklab ng digmaan	the outbreak of war
Ang pagtatambal ng dalawang kinikilalang superstar	The pairing of two famous superstars
ang pakpak ng lawin	the hawk’s wings
Ang pamilya ay ang pinakamahalagang kayamanan ng isang bansa.	The family is the greatest treasure of a country.
Ang pamilya ay ang pinakamaliit na sangay ng lipunan.	The family is the smallest unit of society.
Ang pamuksa sa naglalagablab na apoy ay sa pamamagitan ng tubig lamang.	The only thing that can put out a blazing fire is the use of water.
Ang pang-abay ay bahagi ng pananalita na nagbibigay-turing sa pandiwa.	An adverb is a part of speech that modifies a verb.
Ang Papa	The Pope
ang pastól ng mga tupa	the pastor of sheep
ang páto	the duck
ang payo kay Juan	advice for John
ang payo ni Jose	Josepth’s advice
ang payong	the umbrella
Ang pera ay para sa iyo.	The money is for you.
ang perang kinita mo	the money you earned
Ang pinagbatayan nito ay ang mga rekomendasyon nila.	The basis for this was their recommendations.
ang pinagsamantalahan	the one who was taken advantage of
Ang Pinakamagandang Hayop Sa Balat Ng Lupa	The Most Beautiful Animal On The Surface Of The Earth
Ang puti!	So white!
ang sabi nila	what they say
Ang sakit nitong mga sinabi nila.	Very hurtful these things they said.
ang sakripisyo ng isang amá	the sacrifice of a father
ang sanggol	the infant
Ang sarap nong pansit.	The noodles were delicious.
Ang sarap!	Very delicious!
Ang sawa ay isang malaking ahas.	A python is a large snake.
Ang saya!	So much fun!
Ang sekyung tulog	The sleeping guard
Ang sikíp!	How tight!
Ang silid-aklatan ay kung saan may mga aklat at iba pang babasahin.	The reading room is where there are books and other reading materials.
Ang silid-tulugan ay kuwarto kung saan natutulog ang mga tao.	A bedroom is the room where people sleep.
ang sinamantalang babae	the woman who was violated
Ang suwerte mo naman!	My, how lucky you are!
Ang suwerte mo!	You’re so lucky!
Ang tabâ ko!	I’m so fat!
Ang taba ng baboy!	The pig is so fat
Ang taba ng isda!	The fish is so fat.
Ang tabâ!	So fat!
Ang Tagaparusa	The Punisher
ang takbo ng kotse	the car’s operation
Ang talino mo!	You’re so smart!
Ang tamad mo!	You’re so lazy.
Ang tanga!	So stupid!
Ang tanging hiling ko ay mahalin mo ako kahit saglit.	My only wish is that you love me even for a moment.
Ang Tanging Ina	The Only Mother
Ang taong manhid, parang bato. Hindi nasasaktan, pero nakakasakit.	An insensitive person is like a stone. Cannot be hurt, but can hurt.
ang taong masama	the bad person
Ang tapang mo!	You’re so brave!
ang tatay ko	my Dad
Ang Tatlong Hambóg	The Three Blowhards
Ang tatsulok ay may tatlong gilid.	A triangle has three sides.
Ang tigas nito.	This is so hard/tough.
ang tinanim ko	what I planted
ang tinanim	what was planted
Ang tingkad ng kulay ng buhok.	The hair color is so intense!
Ang tingkad ng mga kulay.	The colors are so intense!
Ang tulisan ay nanloob sa isang bangko.	The bandit entered a bank.
Ang tumal ng benta.	Sales are so slow.
Ang Tunay na Pilipino ay Marunong Makisama. Ang Tunay na Pilipino ay	Marunong Makisama. Ang Tunay na Pilipino ay Marunong Makisama.
Ang tunay na Pilipino ay marunong makisama.	A real Filipino knows how to get along.
Ang tunay na Pilipino ay marunong makisama.	A true Filipino knows how to get along.
ang unang paglipad	the first flight
ang unggoy at ang buwaya	the monkey and the crocodile
ani	“said by”
ani	crop, harvest
aniko	I said
anila	They said
aniya	He/She said
Ano ‘yung ginawa mo?	What was it that you did?
Ano ‘yung kinain mo?	What was it that you ate?
Ano ‘yung tawag dito?	What’s this called?
Ano ang [66]tema ng Buwan ng Wika sa taong 2019?	What is the theme for Filipino Language Month in 2019?
Ano ang bágo dito?	What’s new here?
Ano ang bágo sa iyo?	What’s new with you?
Ano ang bágo?	What’s new?
Ano ang bálak nilang gawin?	What do they intend to do?
Ano ang bugtong?	What is a riddle?
Ano ang dagat?	What is the sea?
Ano ang depinisyon ng salitang hubo?	Walang saplot mula baywang pababa.
Ano ang depinisyon ng salitang hubo?	Walang saplot mula baywang pababa.
Ano ang gagawin mo sa baryá?	What will you do with the coins?
Ano ang ginawa mo?	What did you do?
Ano ang gusto mo?	What do you want? / What do you like?
Ano ang ibig sabihin ng nakaw-tingin?	What does ‘stealing a glance’ mean?
Ano ang ibig sabihin ng salitang hubad?	Walang damit mula baywang pataas.
Ano ang ibig sabihin ng salitang hubad?	Walang damit mula baywang pataas.
Ano ang ibig sabihin ng salitang matanglawin?	What does the word hawk-eyed mean?
Ano ang ibig sabihin nito?	What does this mean?
Ano ang ibig sabihin nito?	What does this mean?
Ano ang ibig sabihin nito?	What does this mean?
Ano ang kahulugan nito?	What does this mean?
Ano ang kanilang kinayamutan?	What did they get bored/annoyed at?
Ano ang kasingkahulugan ng matabâ?	What’s a synonym for fat?
Ano ang kasunod ng letrang B?	What comes after the letter B?
Ano ang kasunod?	What follows next?
Ano ang kasunod?	What’s next?
Ano ang kinain mo?	What did you eat?
Ano ang kumagat sa iyo?	What bit you?
Ano ang mga batayan sa pagtakda ng bansang teritoryo?	What are the criteria for measuring national territory?
Ano ang nasa likód ng pulang pintuan?	What’s behind the red door?
Ano ang nilalaman ng libro?	What’s in the book?
Ano ang nilalaman nito?	What’s the content of this?
Ano ang paborito mong pagkain?	What’s your favorite food?
Ano ang paraan sa pag-aalaga ng buhok?	What’s the method for taking care of hair?
Ano ang pinakamataas na gusali?	What is the tallest building?
Ano ang pinapakain mo sa kanila?	What are you feeding them?
Ano ang punto mo?	What is your point?
Ano ang sagót mo?	What is your answer?
Ano ang sagót?	What is the answer?
Ano ang sanhi ng pangingitim ng balat?	What’s the cause of darkening skin?
Ano ang susunod dito?	What’s next after this?
Ano ang susunod?	What’s next?
Ano ang tawag dito?	What is this called?
Ano ang tinutukoy mo?	What are you referring to?
Ano ito?	What is this?
Ano ito?	What is this?
Ano kaya ang mangyayari kung sakaling matigil ang labis na pamumulitika	sa ating pamahalaan?
Ano kaya ang posibleng mangyayari kung sakaling magising na muli si	Maximillian?
Ano kayâ ito?	I wonder what this is.
ano man = anuman, anoman	what ever, whatever
Ano nga ulî ang sinabi mo?	What was it again that you said?
Ano pa ba?	What else is there?
Ano pa?	What else?
Ano raw?	What did he/she say?
Anong ang lasa nito?	What does this taste like?
Anong bagay ang gusto mong idikit sa papel?	What thing do you want to stick on the paper?
Anong bagay dito?	What goes well with this?
Anong batayan mo sa pagpili ng nobyo?	What’s your criteria for choosing a boyfriend?
Anong bitbit mo?	What are you carrying?
Anong dalá mo?	What do you have with you?
Anong dala-dala mo?	What are you carrying?
Anong dinala mo?	What did you bring?
Anong gagawin mo?	What will you do?
Anong gamit nito?	What’s the use of this?
Anong ginawa mo kagabi?	What did you do last night?
Anong gusto mong gawin?	What would you like to do?
Anong gusto mong kainin?	What would you like to eat?
Anong gusto mong mangyari?	What do you want to happen?
Anong gusto mong panoorin?	What do you want to watch?
Anong hulà mo?	What’s your guess?
Anong kakantahin natin?	What are we going to sing?
Anong kinain mo?	What did you eat?
Anong klaseng ibon ito?	What kind of bird is this?
Anong kulay ng buhok mo?	What’s your hair color?
Anong kulay ng suklay mo?	What’s the color of your comb?
Anong laman nito?	What’s contained in here?
Anong lasa nito?	What’s the taste of this?
Anong lulutuin mo?	What will you cook?
Anong mabuting pantanggal pagod?	What’s good for getting rid of exhaustion?
Anong magandang kulay ng buhok?	What’s a beautiful hair color?
Anong magiging kalalabasan nito?	What will the result of this be?
Anong mangyayari ngayon?	What’s going to happen now?
Anong masarap kainin kapag malamig ang panahon?	What’s delicious to eat when the weather is cold?
Anong nangyari dito?	What happened here?
Anong nangyari kay Pedro?	What happened to Peter?
Anong nangyari sa iyo?	What happened to you?
Anong nangyari sa kanila?	What happened to them?
Anong nangyari sa kotse mo?	What happened to your car?
Anong oras ka darating?	What time are you coming?
Anong oras ka gigising?	What time will you wake up?
Anong oras na?	What time is it now?
Anong oras na?	What time is it?
Anong oras?	What time?
Anong paboritong kulay ng lola mo?	What’s your gradmother’s favorite color?
Anong pagkain sa iyo?	What food for you?
Anong pangalan mo?	What’s your name?
Anong pinagkasunduan ninyo?	What did you all agree upon?
Anong pinamalengke mo?	What did you buy at the wet market?
Anong pinamalengke mo?	What did you buy at the wet market?
Anong pinapanood mo?	What are you watching?
Anong problema?	What’s the problem?
Anong sakit mo?	What are you sick with?
Anong sasakyan natin?	What are we riding in?
Anong silbi nito?	Of what use is this?
Anong tawag dito?	What is this called?
Anong tinitingnan mo?	What are you looking at?
Anong web broswer ang ginagamit mo?	What web browser are you using?
Another Tagalog word for ‘ship’ is bapor, which originally referred to	steamships.
Another use of the word na is to connect a noun and whatever is	describing it.
antála: paghabà sa panahon ng paglalakbay o paggawâ dahil sa	di-inaasahang pangyayari
antás ng kita	level of income
antasín	to classify, grade
Anu-ano ang mga karapatan ng mga migranteng manggagawa at ng kanilang	pamilya kung sakaling sila’y patalsikin?
Anu-ano ang mga katangian ng isang tunay na kaibigan?	What are the characteristics of a true friend?
Anuman ang gagawin, pitong beses isipin.	What you do, think about it seven times.
anuman ang kailangan mo	whatever you need
anyô ng tula	poetic form
anyô	figure
anyô	form, appearance
anyong pawatas ng pandiwa na tumutukoy sa anumang naganap, nagaganap,	at magagana
apo sa kalingkingan	great-great-great-grandchild
apo sa talampakan	great-great-grandchild
apo sa tuhod	great-grandchild
apostol, disipulo; ulipores; tauhan, tagasunod, basalyo; tagatagumyod,	tagatangkilik
aral	lesson, learning
aralin-bahay	homework
Araling Panlipunan	Social Studies
Araw ng Kalayaan sa Pilipinas	Day of Independence in the Philippines
Araw ng Mga Ina = Araw ng Mga Nanay	Day of Mothers = Mothers’ Day = Mother’s Day
Araw ng Mga Patay	Day of the Dead (11/1)
Araw ng Paggunita (Memorial Day / Remembrance Day)	Tagalog word Gunita
Araw ng Paggunitâ sa Digmaang Pilipino-Amerikano	Philippine-American War Memorial Day
Araw ng Pagiging Lungsod ng Lucena	Charter Day of Lucena City
araw ng pahingá	day of rest (rest day, rd)
araw-araw dumudumi	defecating everyday
Arestado ang lalaki matapos mahulihan ng droga.	The man was arrested after being caught with drugs.
arì	property
ariin	to consider, acknowledge
Arketipo ng isang bansang inalipusta ng mga banyaga	Archetype of a country abused by foreigners
aruga	tender care
arugain	to nurture
As a prefix before verbs, pagká- can denote a state. It can also denote	an action that just happened and will quickly be followed by another.
As an adjective, the Tagalog word samâ means something bad. As a verb,	sama means to go along with.
As Philippine-born Filipinos, we encourage a boycott of all products	manufactured by that unethical company.
asa	hope
asahan	expect
asahan	expect
asal	behavior, conduct
asalin, inaasal, inasal, kaasalan, kabutihang-asal, mabubuting-asal,	mag-aasal-pulubi, mag-asal, mag-asal-bulag, pag-aasal,
asim	sourness
At kahit na anong bagyo, ika’y masusundo	And whatever the storm, I’ll be able to pick you up
At kahit na marami d’yang iba	And even though there are many others
At least two meanings for this word in the dictionary, differentiated	by accented syllable.
at	and
ate	older sister
Atin ba ito?	Is this ours?
