kaawaan	to pity ka_an <kinaawaan, kinákaawaan, kákaawaan>
kapitan	to hold onto something; to stick onto something; to grasp onto something (loc/dir) _ <kinapitan, kinakapitan, kakapitan>
kapkapán	to frisk someone (loc/dir) _an <kinapkapán, kinákapkapán, kákapkapán>
kapkapín	to frisk; to search someone for something (object) _in <kinapkáp, kinákapkáp, kákapkapín>
kapootán	to detest something/someone _ <kinapootán, kinapópootán, kapópootán>
kapunín	to castrate something/someone (object) _ <kinapón, kinákapón, kákapunín>
kapusín	to fall short of something (object) _in <kinapós, kinákapós, kákapusín>
kargahán	to load; to fill _an <kinargahán, kinákargahán, kákargahán>
kargahín	to carry someone/something; to scoop up something/someone (object) _in <kinargá, kinákargá, kákargahín>
kasabwatín	to get help committing a crime; to conspire (object) _ <kinasabwát, kinákasabwát, kákasabwatín>
kasangkután	to be involved with something; to get caught up in something ka_an (object) <kinasangkután, kinasasangkután, kasasangkután>
kasuhan	to file a case against someone; to sue someone (loc/dir) _an <kinasuhan, kinákasuhan, kákasuhan>
katakutan	to fear something; to be afraid of something ka_an (loc/dir) <kinatakutan, kinatátakutan, katátakutan>
katasán	to extract; to obtain juice _ <kinatasán, kinákatasán, kákatasán>
katawanín	to represent something; to symbolize something (object) _ <kinatawán, kinákatawán, kákatawanín>
katayin	to slaughter something; to slaughter an animal; to kill something for food (object) _in <kinatay, kinakatay, kakatayin>
kathaín	to create a story; to compose a story; to write a story; to fabricate something (object) _ <kinathâ, kinakathâ, kákathaín>
katigan	to support something; to vote for something; to endorse something; to approve of something (object) _ <kinatigan, kinakatigan, kakatigan>
katukín	to knock on something (loc/dir) _in <kinatók, kinákatók, kákatukín>
kausapin	to speak to someone; to talk with someone; * focus on the person being talked to (loc/dir) _ <kinausap, kinákausap, kákausapin>
kawayán	to wave at someone; to beckon someone (object) _ <kinawayán, kinákawayán, kákawayán>
kayanin	to be able to endure or cope with something; to be able to handle doing something; to be able to do or accomplish something (object) _ <kinaya, kinakaya, kakayanin>
kumain	to eat (actor) _um_ <kumain, kumakain, kakain>
maabutan	to happen to encounter something; to catch up with / to something or someone ma_an <naabutan, naáabutan, maáabutan>
mabigyán	to be given; to be granted (benefactor) ma_an <nabigyán, nabíbigyán, mabíbigyán>
mabinbín	to be postponed ma_ <nabinbín, nabíbinbín, mabíbinbín>
mabitín	to be left hanging; _ <nabitín, nabibitín, mabibitín>
mabutihin	to prefer; to favor (object) _ <minabuti, minámabuti, mámabutihin>
madaliín	to make faster; to hurry; to rush (object) ma_in <minadalî, minámadalî, mámadaliín>
madatnán	to come upon someone/something; to be caught in the act of doing something _ <nadatnán, nadádatnán, madádatnán>
madiligán	to be able to water (benefactor) ma_an <nadiligán, nadídiligán, madídiligán>
madumihán	to make something dirty; to get something dirty (object) ma_an <nadumihán, nadúdumihán, madúdumihán>
mag-alalá	to worry; to be concerned; to be anxious; to be apprehensive (actor) mag_ <nag-alalá, nag-áalalá, mag-áalalá>
magbabâ	to bring down; to demote (actor) mag_ <nagbabâ, nagbababâ, magbababâ>
magbalità	to report (news) (actor) mag_ <nagbalità, nagbábalità, magbábalità>
magbaybáy	to spell (actor) mag_ <nagbaybáy, nagbábaybáy, magbábaybáy>
magbilin	to give instructions; to brief; to order (actor) mag_ <nagbilin, nagbibilin, magbibilin>
magdiwang	to celebrate (actor) mag_ <nagdiwang, nagdiriwang, magdiriwang>
maghain	to set the table; to prepare for; to lay the groundwork for; to file (a complaint, case, etc.) (actor) mag_ <naghain, naghahain, maghahain>
mag-isíp	to think; to think of; to think intensely; to plan; to devise (plan); * deliberate, intentional thinking (actor) mag_ <nag-isíp, nag-íisíp, mag-íisíp>
magkaín	to devour; to eat often (actor) mag_ <nagkaín, nagkakaín, magkakaín>
magkamayan	to shake hands (actor) mag_an <nagkamayan, nagkákamayan, magkákamayan>
magkumpará	to compare (actor) mag_ <nagkumpará, nagkúkumpará, magkúkumpará>
magkuwento	to tell a story; to narrate (actor) mag_ <nagkuwento, nagkukuwento, magkukuwento>
maglabá	to wash clothes; to do the laundry (actor) mag_ <naglabá, naglálabá, maglálabá>
maglabás	to bring out; to take out; to put out (actor) mag_ <naglabás, naglálabás, maglálabás>
maglagà	to cook by boiling; to boil (actor) mag_ <naglagà, naglalagà, maglalagà>
maglagáy	to place; to apply; to put; to situate; to bribe (actor) mag_ <naglagáy, naglálagáy, maglálagáy>
maglakád	to walk; to walk around; to engage in trade; to do the legwork; to walk or hand-carry over (actor) mag_ <naglakád, naglálakád, maglálakád>
maglakbáy	to travel; to journey; to tour around (actor) mag_ <naglakbáy, naglálakbáy, maglálakbáy>
maglarô	to play (actor) mag_ <naglarô, naglalarô, maglalarô>
maglaslás	to slash; to lacerate (actor) mag_ <naglaslás, naglálaslás, maglálaslás>
maglinis	to clean; to clean up (actor) mag_ <naglinis, naglilinis, maglilinis>
maglipát	to move something; to transfer something (actor) mag_ <naglipát, naglílipát, maglílipát>
maglipon	to converse with one another (actor) mag_ <naglipon, naglilipon, maglilipon>
magliwanag	to light up; to glow; to give out a bright light; to twinkle; to make clear (actor) mag_ <nagliwanag, naglíliwanag, maglíliwanag>
maglutò	to cook (actor) mag_ <naglutò, naglulutò, maglulutò>
magmadalî	to hurry up; to hasten; to rush; to be in a hurry; to go in a hurry (actor) magma_ <nagmadalî, nagmámadalî, magmámadalî>
magmahál	to love; to become expensive (actor) mag_ <nagmahál, nagmámahál, magmámahál>
magmahalan	to love each other or one another (actor) mag_an <nagmahalan, nagmámahalan, magmámahalan>
magmaneho	to drive (actor) mag_ <nagmaneho, nagmámaneho, magmámaneho>
magmano	to kiss the hand of someone; to put the hand of an elder to one's forehead to show respect; to bless (actor) mag_ <nagmano, nagmamano, magmamano>
magmasahe	to massage (actor) mag_ <nagmasahe, nagmámasahe, magmámasahe>
magmasíd	to observe (actor) _ <nagmasíd, nagmámasíd, magmámasíd>
magmúni-muni	to ponder; to reflect; to self reflect; to contemplate (actor) mag_ <nagmúni-muni, nagmumúni-muni, magmumúni-muni>
magnakaw	to steal (actor) mag_ <nagnakaw, nagnanakaw, magnanakaw>
magpaalam	to say goodbye; to seek permission (actor) mag_ <nagpaalam, nagpápaalam, magpápaalam>
magpadalá	to send; to transmit; to carry away; to be swayed (actor) magpa_ <nagpadalá, nagpápadalá, magpápadalá>
magpagandá	to make beautiful; to embellish (actor) magpa_ <nagpagandá, nagpápagandá, magpápagandá>
magpagupít	to get a haircut (actor) magpa_ <nagpagupít, nagpápagupít, magpápagupít>
magpahangin	to get some fresh air (actor) magpa_ <nagpahangin, nagpápahangin, magpápahangin>
magpahayág	to declare; to express; to announce; to assert (actor) magpa_ <nagpahayág, nagpápahayág, magpápahayág>
magpahingá	to rest; to take a break; to take a rest (actor) magpa_ <nagpahingá, nagpápahingá, magpápahingá>
magpakabít	to have someone install something; to have someone attach something; to have someone connect something (actor) magpa_ <nagpakabít, nagpápakabít, magpápakabít>
magpakain	to feed someone; to allow others to eat (actor) magpa_ <nagpakain, nagpápakain, magpápakain>
magpasán	to carry on one's back or shoulder (actor) _ <nagpasán, nagpápasán, magpápasán>
magpatingín	to be examined; to consult; to seek the advice of someone (actor) magpa_ <nagpatingín, nagpápatingín, magpápatingín>
magsalamín	to wear glasses (actor) mag_ <nagsalamín, nagsásalamín, magsásalamín>
magsayawan	to dance together (actor) mag_an <nagsayawan, nagsásayawan, magsásayawan>
magsigawan	to shout at each other (actor) mag_an <nagsigawan, nagsísigawan, magsísigawan>
magtaguán	to play hide-and-seek (actor) mag_an <nagtaguán, nagtátaguán, magtátaguán>
magtanan	to elope (actor) _ <nagtanan, nagtatanan, magtatanan>
magtipon	to gather; to assemble; to meet; to accumulate (actor) _ <nagtipon, nagtitipon, magtitipon>
magtungo	to head toward; to go toward (actor) mag_ <nagtungo, nagtutungo, magtutungo>
magulat	to be surprised (actor) ; to be startled (actor) ; to be frightened (actor) ; to surprise someone (object) ; to startle someone (object) ma_ <nagulat, nagugulat, magugulat>
magustuhán	to like something; to enjoy something (object) ma_an <nagustuhán, nagúgustuhán, magúgustuhán>
mahalín	to love someone/something; to take care of someone/something; to treasure something; to cherish something (object) _ <minahál, minámahál, mámahalín>
mahulaan	to be able to predict something (object) ; to be able to guess something (object) _ <nahulaan, nahúhulaan, mahúhulaan>
maibigáy	to be able to give something (object) _ <naibigáy, naibíbigáy, maibíbigáy>
maintindihán	to understand something; to be able to understand something; to comprehend something; to be able to comprehend something (object) _ <naintindihán, naíintindihán, maíintindihán>
maipagpatuloy	to be able to continue; to be able to carry on _ <naipagpatuloy, naipagpápatuloy, maipagpápatuloy>
maipaliwanag	to explain; to illuminate (object) _ <naipaliwanag, naipápaliwanag, maipápaliwanag>
maisipan	to have something occur to one to do; to have something come to mind; to think of doing something (object) _ <naisipan, naíisipan, maíisipan>
maiwan	to be left out (actor) ; to be left behind (actor) ; to be able to leave something behind (object) _ <naiwan, naiiwan, maiiwan>
maiwasan	to prevent something; to avoid something; to evade something (object) _ <naiwasan, naíiwasan, maíiwasan>
makain	to be able to eat something (object) ; to happen to eat something (object) _ <nakain, nakakain, makakain>
makakain	to be able to eat (actor) _ <nakakain, nakakakain, makakakain>
makalimutan	to forget something; to fail to remember something; (loc/dir) _ <nakalimutan, nakákalimutan, makákalimutan>
makamtán	to secure; to possess; to achieve _ <nakamtán, nakákamtán, makákamtán>
makapaghain	to be able to set the table; to be able to prepare for; to be able to lay the groundwork for; to be able to file (a complaint, case, etc.) _ <>
makaraán	to be able to pass; to be able to get over/across (actor) _ <nakaraán, nakákaraán, makákaraán>
makatingín	to be able to look (actor) _ <nakatingín, nakákatingín, makákatingín>
maki+root	to join in doing something, to do something with others; to ask someone to do the root; to ask permission to join others in doing something; (actor) _ <naki+root, nakiki+root, makiki+root>
makialám	to meddle; to interfere (actor) _ <nakialám, nakíkialám, makíkialám>
makibagay	to adjust oneself to; to conform to (actor) _ <nakibagay, nakikibagay, makikibagay>
makibahagi	to take part; to share in; to share together _ <nakibahagi, nakikibahagi, makikibahagi>
makidaán	to ask permission to pass through (actor) _ <nakidaán, nakíkidaán, makíkidaán>
makiisá	to unite with; to become one with; to join in _ <nakiisá, nakíkiisá, makíkiisá>
makikain	to join others in eating; to eat with others; to eat together _ <nakikain, nakikikain, makikikain>
makilala	to meet someone; to get to know someone; to become acquainted with someone; to come to know someone/something; to recognize someone (object) _ <nakilala, nakíkilala, makíkilala>
makilitî	to feel ticklish (actor) _ <nakilitî, nakikilitî, makikilitî>
makinabang	to benefit from; to profit from; to take advantage of (actor) _ <nakinabang, nakíkinabang, makíkinabang>
makiníg	to listen (actor) _ <nakiníg, nakíkiníg, makíkiníg>
makinílyahín	to type (object) _ <minakinilya, minámakinilya, mámakinílyahín>
makipag+root	[affix/verb] to do something with someone _ <nakipag+root, nakikipag+root, makikipag+root>
makipag-away	to quarrel with each other; to argue with each other _ <nakipag-away, nakíkipag-away, makíkipag-away>
makipagbarilán	to get in a shoot out; to exchange gunfire _ <nakipagbarilán, nakikipagbarilán, makikipagbarilán>
makipag-debate	to debate each other; to debate one another; * Taglish verb from the English word "debate" _ <nakipag-debate, nakikipag-debate, makikipag-debate>
makipaggiyera	to make war with each other; to make war among each other _ <nakipaggiyera, nakikipaggiyera, makikipaggiyera>
makipagkaibigan	to become a friend; to become friendly; to make friends _ <nakipagkaibigan, nakíkipagkaibigan, makíkipagkaibigan>
makipagkamáy	to shake hands with someone _ <nakipagkamáy, nakíkipagkamáy, makíkipagkamáy>
makipagkilala	to meet; to know someone; to meet each other _ <nakipagkilala, nakíkipagkilala, makíkipagkilala>
makipagkita	to meet up with (actor) _ <nakipagkita, nakíkipagkita, makíkipagkita>
makipaglaban	to contend with; to fight with _ <nakipaglaban, nakíkipaglaban, makíkipaglaban>
makipaglarô	to play with someone; to play with others _ <nakipaglarô, nakikipaglarô, makikipaglarô>
makipagpulong	to have a meeting with (actor) _ <nakipagpulong, nakikipagpulong, makikipagpulong>
makipagsabayán	to be able to join; (actor) _ <nakipagsabayán, nakikipagsabayán, makikipagsabayán>
makipagtalik	to have sex _ <nakipagtalik, nakikipagtalik, makikipagtalik>
makipagtalo	to argue with _ <nakipagtalo, nakíkipagtalo, makíkipagtalo>
makipagtulungán	to cooperate; to help each other _ <nakipagtulungán, nakíkipagtulungán, makíkipagtulungán>
makipag-ugnayan	to associate with; to coordinate _ <nakipag-ugnayan, nakíkipag-ugnayan, makíkipag-ugnayan>
makipag-usap	to talk with; to converse with; to communicate with; * on actor who is talking (actor) _ <nakipag-usap, nakíkipag-usap, makíkipag-usap>
makiramdám	to sharpen one's senses (actor) _ <nakiramdám, nakikiramdám, makikiramdán>
makisakáy	to ride together _ <nakisakáy, nakikisakáy, makikisakáy>
makisalamuha	to mingle; to interact with (actor) _ <nakisalamuha, nakíkisalamuha, makíkisalamuha>
makisali	to participate; to join in _ <nakisali, nakíkisali, makíkisali>
makisama	to get along with (actor) _ <nakisama, nakikisama, makikisama>
makita	to be able to see something; to see something; to catch sight of something (object) _ <nakita, nakikita, makikita>
makitawa	to join in laughing _ <nakitawa, nakíkitawa, makíkitawa>
makituloy	to stay somewhere temporarily _ <nakituloy, nakikituloy, makikituloy>
makitungo	to deal with; to act toward _ <nakitungo, nakíkitungo, makíkitungo>
makiusap	to request; to ask for; to plead; to beg (actor) _ <nakiusap, nakíkiusap, makíkiusap>
malaman	to know something (object) ; to find out something (object) ; to learn about something (object) ; to be conscious of something (object) ; to be informed (actor) ; to find out (actor) _ <nalaman, nalalaman, malalaman>
malasin	to have bad luck; to suffer harm; to be unlucky (object) _ <minalas, minamalas, mamalasin>
maliitín	to underestimate; to belittle (object) _ <minaliít, minámaliít, mámaliitín>
manahin	to inherit something (object) _ <minana, minamana, mamanahin>
manalangin	to pray (actor) ; to pray for something (object) _ <nanalangin, nanánalangin, manánalangin>
manehuhin	to drive something (a vehicle); to manage something (object) _ <minaneho, minámaneho, mámanehuhin>
mangailangan	to need something (actor) _ <nangailangan, nangángailangan, mangángailangan>
manirahan	to reside; to dwell; to live (actor) _ <nanirahan, nanínirahan, manínirahan>
mapagaán	to relieve; to make easier _ <napagaán, napápagaán, mapápagaán>
mapag-alamán	to come to realize something; to come to learn something; to come to find out something (object) _ <napag-alamán, napag-áalamán, mapag-áalamán>
mapagdesisyunan	to decide on something (object) _ <napagdesisyunan, napagdedesisyunan, mapagdedesisyunan>
mapagkalakhán	to outgrow (laki); to grow too large for _ <napagkalakhán, napagkákalakhán, mapagkákalakhán>
mapagkámalán	to misunderstand; to misconstrue _ <napagkámalán, napápagkámalán, mapápagkámalán>
mapagkasunduan	to agree on something (together/reciprocally) _ <napagkasunduan, napagkakasunduan, mapagkakasunduan>
mapagmasdán	to be able to observe something; to have the chance to observe something (object) _ <napagmasdán, napagmamasdán, mapagmamasdán>
mapagpasyahán	to decide _ <napagpasyahán, napagpápasyahán, mapagpápasyahán>
mapagtagumpayan	to overcome something; to succeed over something (object) _ <>
mapagtripán	to harass _ <napagtripán, napagtítripán, mapagtítripán>
mapag-usapan	to discuss something; to settle matters of something (object) _ <napag-usapan, napag-úusapan, mapag-úusapan>
mapag-utusan	to be ordered _ <napag-utusan, napag-úutusan, mapag-úutusan>
mapanalunan	to win _ <napanalunan, napápanalunan, mapápanalunan>
mápansín	to happen to notice something (object) ; to realize something (object) ; to be noticed (actor) _ <nápansín, napápansín, mapápansín>
mapasaakin	to become mine _ <napasaakin, napápasaakin, mapápasaakin>
mapasaamin	to become ours _ <napasaamin, napápasaamin, mapápasaamin>
mapasaatin	to become ours _ <napasaatin, napápasaatin, mapápasaatin``>
mapatingín	to happen to look at; to happen to see; to suddenly look at (actor) _ <napatingín, napápatingín, mapápatingín>
mapigilan	to stop; to be able to stop; to be able to hold back _ <napigilan, napípigilan, mapípigilan>
mapilitan	to be forced; to have no choice; to be obliged (actor) _ <napilitan, napípilitan, mapípilitan>
maramdamán	to feel something (physically or emotionally) (object) _ <naramdamán, naráramdamán, maráramdamán>
maranasan	to experience _ <naranasan, naráranasan, maráranasan>
masahihin	to massage (object) _ <minasahe, minámasahe, mámasahihin>
masaktán	to be hurt (actor) ; to be injured (actor) ; to have one's feelings hurt (actor) ; to be offended (actor) ; to hurt someone's feelings (loc/dir) _ <nasaktán, nasásaktán, masásaktán>
masamain	to take something wrong; to take something the wrong way; to take something poorly; to turn bad; to take a turn for the worse (object) _ <minasamâ, minámasamâ, mámasamaín>
masdán	to observe (object) _ <minasdán, minámasdán, mámasdán>
matahín	to underestimate something; to eye something (with suspicion or skepticism); to belittle something; to disdain something; to despise something (object) _ <minatá, minámatá, mámatahín>
matandaán	to be able to remember _ <natandaán, natátandaán, matátandaán>
matangkarán	to grow or become tall _ <natangkarán, natátangkarán, matátangkarán>
matigilan	to be bewildered; to be stunned; to be surprised; to be dumbfounded; to falter (actor) _ <natigilan, natítigilan, matítigilan>
matugunán ang pangangailangan	to meet the need _ <natugunán ang pangangailangan, natutugunán ang pangangailangan, matutugunán ang pangangailangan>
matugunán	to meet a need; to satisfy a need or desire _ <natugunán, natútugunán, matútugunán>
matuklasán	to find out about something; to discover something _ <natuklasán, natútuklasán, matútuklasán>
maunawaan	to be able to understand something; to be able to realize something (object) _ <naunawaan, naúunawaan, maúunawaan>
paalisín	to send someone or something away (object) _ <pinaalís, pinaáalís, paáalisín>
paandarín	to cause something to operate; to cause to run or set in motion; to drive something (object) _ <pinaandár, pinapaandár, papaandarín>
pabayaan	to abandon something; to neglect something; to disregard something; to let something be; to never mind about something (object) _ <pinabayaan, pinápabayaan, pápabayaan>
pabilisín	to speed up; to expedite _ <pinabilís, pinabíbilís, pabíbilisín>
paborán	to favor _ <pinaborán, pinápaborán, pápaborán>
pabutihin	to improve _ <pinabuti, pinabubuti, pabúbutihin>
pagalawín	to move; to cause to move (object) _ <pinagaláw, pinápagaláw, pápagalawín>
pagalingín	to heal; to cure; to make better (object) _ <pinagalíng, pinagágalíng, pagágalingín>
pagalitan	to scold someone; to reprimand someone; to get angry at someone (loc/dir) _ <pinagalitan, pinagágalitan, pagágalitan>
pagandahín	to make something beautiful; to beautify something; to make something better (object) _ <pinagandá, pinagágandá, pagágandahín>
pag-aralan	to study something (object) _ <pinag-aralan, pinag-áaralan, pag-áaralan>
pagawaín	to make someone do (something); to have someone do (object) _ <pinagawâ, pinapagawâ, papagawaín>
pagbabarilín	to shoot up something/somewhere; to shoot down something (object) _ <pinagbabaríl, pinagbábabaríl, pagbábarilín>
pagbakasyunán	to spend a vacation somewhere _ <pinagbakasyunán, pinagbábakasyunán, pagbábakasyunán>
pagbidahan	to star in something (movie, TV show, etc.) _ <pinagbidahan, pinagbibidahan, pagbibidahan>
pagbigyán	to give in to someone; to let someone have their way; to accommodate someone; to oblige someone; to make a concession to someone _ <pinagbigyán, pinagbíbigyán, pagbíbigyán>
pagbilhán	to sell to someone; to sell somewhere (loc/dir) _ <pinagbilhán, pinagbíbilhán, pagbíbilhán>
pagbilinan	to brief someone; to instruct someone _ <pinagbilinan, pinagbíbilinan, pagbíbilinan>
pagbuhatín	to lift/carry for someone else _ <pinagbuhát, pinagbubuhât, pagbúbuhatín>
pagbutihin	to make something perfect; to do something well _ <pinagbuti, pinagbubuti, pagbubutihin>
pagdaanan	to go through something; to pass through something; to endure something (go through difficulties); to bring something by to someone _ <pinagdaanan, pinagdádaanan, pagdádaanan>
pagdausan	to hold an event _ <pinagdausan, pinagdárausan, pagdárausan>
pagdudahan	to doubt someone/something _ <pinagdudahan, pinagdúdudahan, pagdúdudahan>
pagdusahan	to suffer _ <pinagdusahan, pinagdurusahan, pagdúrusahan>
paghahampasín	to strike someone; to strike someone repeatedly _ <pinaghahampás, pinagháhahampás, pagháhahampasín>
pagháhanapín	to hunt down _ <pinaghahanáp, pinagháhahanáp, pagháhahanapín>
paghariin	to let someone reign (object) _ <pinagharì, pinaghaharì, pagháhariin>
paghinalaan	to suspect someone (of something) (object) _ <pinaghinalaan, pinaghíhinalaan, paghíhinalaan>
paghirapan	to work hard for something; to strain for something (object) _ <pinaghirapan, pinaghíhirapan, paghíhirapan>
pághiwalayín	to separate one from another (object) _ <pinághiwaláy, pinaghíhiwaláy, paghíhiwalayín>
paghusayan	to do one's best (object) _ <pinaghusayan, pinaghuhusayan, paghuhusayan>
pag-ibayuhin	to redouble _ <pinag-ibayo, pinag-íibayo, pag-íibayuhin>
pag-ingatan	to take care of something _ <pinag-ingatan, pinag-íingatan, pag-íingatan>
pag-ingatin	to caution _ <pinag-ingat, pinag-iingat, pag-iingatin>
pag-ipunan	to save up; to save up money _ <pinag-ipunan, pinag-íipunan, pag-íipunan>
pag-isipan	to think about something; to consider something (object) _ <pinag-isipan, pinag-íisipan, pag-íisipan>
pagkáabalahán	to be very busy with something; to be engrossed in something _ <pinagkáabalahán, pinagkákaabalahán, pagkákaabalahán>
pagkáisahán	to gang up on; to be ganged up on; to have consensus _ <pinagkáisahán, pinagkakáisahán, pagkakáisahán>
pagkalakhán	to grow up with (laki) _ <pinagkalakhán, pinagkákalakhán, pagkákalakhán>
pagkaloobán	to be provided with; to be endowed with; to be granted; to furnish (benefactor) _ <pinagkaloobán, pinagkákaloobán, pagkákaloobán>
pagkámalán	to mistake someone/something (for something else); to misconstrue something (loc/dir) _ <pinagkámalán, pinagkakámalán, pagkakámalán>
pagkátiwalaan	to entrust to the care of; consign; relegate; confide _ <pinagkátiwalaan, pinagkakátiwalaan, pagkakátiwalaan>
paglaruán	to play with something; to toy with something; to trifle with something (object) _ <pinaglaruán, pinaglálaruán, paglálaruán>
pagmasdán	to look at something attentively; to carefully observe something (loc/dir) _ <pinagmasdán, pinagmámasdán, pagmámasdán>
pagmulán	to be the source or cause of something (actor) _ <pinagmulán, pinagmúmulán, pagmúmulán>
pagmultahín	to fine someone _ <pinagmultá, pinagmúmultá, pagmúmultahín>
pagpasensyahán	to have patience with someone (loc/dir) _ <pinagpasensyahán, pinagpapasensyahán, pagpapasensyahán>
pagpasiyahán	to decide; to decide on (loc/dir) _ <pinagpasiyahán, pinagpápasiyahán, pagpápasiyahán>
pagsabihan	to reprimand someone; to scold someone; to correct someone; to say something to someone; * on the person being talked to (loc/dir) _ <pinagsabihan, pinagsásabihan, pagsásabihan>
pagsaluhan	to share (object) _ <pinagsaluhan, pinagsásaluhan, pagsásaluhan>
pagsamahin	to combine something; to have things put together / joined (object) _ <pinagsama, pinagsasama, pagsasamahin>
pagsamantalahán	to take advantage of something (object) _ <pinagsamantalahán, pinagsásamantalahán, pagsásamantalahán>
pagsanibin	to unite _ <pinagsanib, pinagsasanib, pagsásanibin>
pagselosin	to make someone jealous _ <pinagselos, pinagseselos, pagseselosin>
pagsisihan	to atone for something; to be sorry for something _ <pinagsisihan, pinagsísisihan, pagsísisihan>
pagtaguan	to hide from someone _ <pinagtaguan, pinagtátaguan, pagtátaguan>
pagtakpán	to cover up; to whitewash (loc/dir) _ <pinagtakpán, pinagtátakpán, pagtátakpán>
pagtaksilán	to betray; to cheat on _ <pinagtaksilán, pinagtátaksilán, pagtátaksilán>
pagtalunan	to argue about; to haggle _ <pinagtalunan, pinagtátalunan, pagtátalunan>
pagtangkaán	to attempt; to intend; to plan; to undertake _ <pinagtangkaán, pinagtátangkaán, pagtátangkaán>
pagtawanán	to laugh at someone/something; to mock someone/something; to make fun of someone/something (loc/dir) _ <pinagtawanán, pinagtátawanán, pagtátawanán>
