ANG ang kasama NG	ANG is with/companion NG
Ang isa'y bago't ang iba'y luma.	One is new, the other is old.
Ang isang bahay ay orange, ang isang bahay ay asul at ang isang bahay ay dilaw.	One house is orange, one house is blue and one house is yellow.
Ang isang kotse ay dilaw at ang isang kotse ay asul.	One car is yellow and one car is blue.
Ang isáng paraán para maitalâ ang obserbasyón mo ay iguhit itó.	One way to record what you observe is to draw it.
Ang kaalaman ng wika ay isang bagay; ang pagtuturo nito ay iba pa.	To know a language is one thing, and to teach it is another.
Ang kaniláng kayabangan ang nagdulot ng kaniláng pagbagsák.	Their arrogance led to their downfall.
Ang kanta ng mga kuliglig na may tungkuling magbantay sa gabi ang huli	kong narinig.
Ang kanyang lolo ay namatay sa kanser isang taon ang nakaraan.	His grandfather died of cancer last year.
Ang kasalukuyang namumunong partido pulitikal sa Pilipinas ay ang… The	current ruling party in the Philippines is the…
Ang lalaki ang may-ari ng kotseng ito.	The man owns this car.
Ang lalaki ay nakatayo kasama ang kaniyang asawa at mga anak.	The man is standing with his wife and children.
Ang malaki, hindi ang maliit.	The big, not the small.
Ang mga baka ay nagbibigay sa atin ng gatas at ang mga manok naman ay itlog.	Cows give us milk and chickens give us eggs.
Ang mga katinig ang pag-áaralan namin bukas.	The consonant are what we will be studying tomorrow.
Ang mga lamók ang nagdádalá ng dengue virus.	Mosquitoes are the carriers of the dengue virus.
Ang mga magulang mo ang unang makákatanggáp ng mga pagkukulang mo.	Your parents are the first ones who will accept you for your shortcomings.
Ang mga nadiskubre ni Galileo ay iniba ang mukha ng astronomiyang magpakailanman.	Galileo's discoveries forever changed the face of astronomy.
Ang mga patalastas ang nag-uudyok sa ating bumili ng maluluhong bagay.	Advertisements urge us to buy luxuries.
Ang mithi o mithiin ay ang bagay o nais na pinapangarap o gustong	makamit.
Ang nanay ko ang namumunò sa pamilya namin.	My mother leads our family.
Ang pag-ibig ay umuusbong mula sa pag-ibig. Kung gusto kong mahalin ako ng ibang tao, ako mismo ang unang magmahal.	Love comes from love. When I want others to love me, I myself love first.
Ang pagkakaroon ng pera ang hangad ko.	Having money is my wish.
Ang pamilya ay ang pinakamahalagang kayamanan ng isang bansa.	The family is the greatest treasure of a country.
Ang pamilya ay ang pinakamaliit na sangay ng lipunan.	The family is the smallest unit of society.
Ang pangalawang aso at ang huling aso ay nakaupo.	The second and the last aso are sitting.
Ang pangalawang bilang at ang pang-apat na bilang ay tatlo.	The second number and the fourth number are three.
Ang pangalawang lalaki at ang pangatlong lalaki ay nakaupo.	The second man and the third man are sitting.
Ang pangalawang pusa at ang pangatlong pusa ay nakatayo.	The second cat and the third cat are standing.
Ang pangatlong bilang at ang huling bilang ay dalawa.	The third number and the last number are two.
Ang pangatlong bilang ay sero at ang pang-apat na bilang ay hindi sero.	The third number is zero and the fourth number is not zero.
Ang pangatlong bilang ay sero at ang pang-apat na bilang ay sero.	The third number is zero and the fourth number is zero.
Ang pangatlong tao at ang pang-apat na tao ay nakatayo.	The third person and the fourth person are standing.
Ang pangunang problema sa kapetirya ay ang kalidad.	The cafeteria's primary problem is its quality.
Ang pinagbatayan nito ay ang mga rekomendasyon nila.	The basis for this was their recommendations.
Ang prutas na ito ang dilaw.	This fruit is yellow.
Ang prutas na ito ang pula.	This fruit is red.
Ang sagot sana sa mga tanong na ito ang magdudulot sa atin ng higit	pang panggigilalas sa naturang bukirin ng Banaue.
Ang silid-tulugan ay kuwarto kung saan natutulog ang mga tao.	A bedroom is the room where people sleep.
Ang sinabi mo ay nagpaalala sa akin ng isang kakaibang karanasan nang maraming taon ang nakalipas.	What you have said reminds me of a strange experience I had a few years ago.
Ang unang babae at ang pangatlong babae ay nakatayo.	The first woman and the third woman are standing.
Ang unang bata at ang pang-apat na bata ay nakaupo.	The first child and the fourth child are sitting.
Ang unang bilang at ang huling bilang ay dalawa.	The first number and the last number are two.
Ang unang bilang at ang huling bilang ay isa.	The first number and the last number are one.
Ang unang bilang ay isa, ang pangalawang bilang ay dalawa, ang pangatlong bilang ay tatlo, at ang huling bilang ay apat.	The first number is one, the second number is two, the third number is three, and the last number is four.
Ang unang bilang ay lima, ang pangalawang bilang ay dalawa, ang pangatlong bilang ay sero, at ang huling bilang ay apat.	The first number is five, the second number is two, the third number is zero, and the last number is four.
Ang unang dalawang aso ay itim at ang huling aso ay puti.	The first two dogs are black and the last dog is white.
Ang unang dalawang bilang ay tatlo at ang huling bilang ay pito.	The first two numbers are three and the last number is seven.
Ang unang tao at ang huling tao ay nakatayo.	The first person and the last person are standing.
Ang unang tao at ang pangalawang tao ay nakaupo.	The first person and the second person are sitting.
Ang “e” ay ang ikalimang letra ng abakadang Pilipino.	“E” is the fifth letter of the Filipino alphabet.
Ano kaya ang mangyayari kung sakaling matigil ang labis na pamumulitika	sa ating pamahalaan?
Anó ang dapat mong gawín kapág naburá ang iyóng files?	What should you do when you erased your files?
Anó ang ginagawâ mo para labanán ang pagkabagót?	What do you do to fight boredom?
Anó ang gágawín mo kung nalaman mong makákaharáp mo ang soulmate mo ngayón?	What would you do if you knew you would meet your soulmate now?
Anó ang híhilingín mo kapág nasa iyó ang mahiwagang lámpara?	What will you wish for if you have the magic lamp?
Aso ang ilan sa mga hayop at pusa ang iba.	Some of the animals are dogs and the others are cats.
Asul ang isang bulaklak, at pula ang iba.	One flower is blue, and the others are red.
Ayusin mo ang mga salitâ para mabuô ang pangungusap.	Arrange the words to form the sentence.
Bagaman gusto ko ang kulay ng damit, ayoko ang tabas.	While I like the color of the dress, I don’t like its cut.
Baluktot ang kaniyang mga binti at tuwid ang kaniyang mga braso.	His legs are bent and his arms are straight.
Berde ang ilan sa mga malalaking triyanggulo, at kulay-abo ang lahat ng maliliit na triyanggulo.	Some of the big triangles are green, and all the small triangles are gray.
Berde ang lahat ng malalaking triyanggulo, at pula ang ilan sa mga maliliit na triyanggulo.	All of the big triangles are green, and some of the small triangles are red.
Bihirang nagsusuot ng damit ang mga pusa, ngunit nakasuot ng damit ang isang ito.	Cats rarely wear clothes, but this one is wearing clothes.
Bina-brush ng babae ang kaniyang buhok habang hinahawakan niya ang kaniyang sanggol.	The woman is brushing her hair while holding her baby.
Bina-brush niya ang kaniyang buhok gamit ang brush sa buhok.	She brushes her hair with the hairbrush.
Binubura niya ang linya gamit ang pambura.	He is using an eraser to erase the line.
Bukas ang bibig ng lalaki at mulat ang kaniyang mga mata.	The man's mouth is open and his eyes are open.
Bukas ang isang bintana at sarado ang isang bintana.	One window is open and one window is closed.
Bukas ang isang kamay at sarado ang isang kamay.	One hand is open and one hand is closed.
Bumababa ang iilang mga tao, pero umaakyat ang marami.	Only a few people are coming down, but many are going up.
Bumababa ang karamihan ng mga tao, ngunit umaakyat ang iilan.	Many people are coming down, but only a few are going up.
Bumabalik ang babae sa bahay para kunin ang kaniyang bag.	She is returning to the house to get her purse.
Bumabalik ang lalaki sa bahay para kunin ang kaniyang aklat.	The man is returning to the house to get his book.
Bumukás mag-isá ang pintô nang namatáy ang ilaw.	The door opened by itself when the lights went out.
Bungkalin mo ang kalansay sa apog at lumot ng gunita upang masapol ang	katotohanan.
Dahil gusto ko ang araw at ang dagat.	Because I like the sun and the sea.
Dahil ikakasal na ang anak ko at ang nobya niya.	Because my son and his girlfriend are going to get married.
Dalawang uri ng halaman ang palumpong at ang bulaklak.	Bushes and flowers are kinds of plants.
Dapat isugód agád sa klíniká ang isáng batáng mataás ang lagnát.	A child with a high fever should be rushed to the clinic.
Dapat itigil niya ang pagbubuhos kapag puno na ang baso.	He should stop pouring when the cup is full.
Dapat itinigil na niya ang pagbubuhos nang puno na ang baso.	He should have stopped pouring when the cup was full.
Dapat ko bang isuot ang itim na palda o ang grey na palda?	Should I wear the black skirt or the gray skirt?
Dapat ko bang isuot ang pulang t-shirt o ang dilaw na t-shirt?	Should I wear the red t-shirt or the yellow t-shirt?
Di kung ano ang binabasa mo kundi kung paano mo binabasa ang kahulugan.	It is not what you read but how you read it that counts.
Dumating ang sagot matapos ang tatlong araw.	The reply came after three days.
Gagana pa ang reló ko kung pápalitán ko ang bateryá.	My watch will still run if I'd replace the battery.
Gumagamit ng kaniyang mga daliri ang nars para bilangin ang pulso ni Eva.	The nurse is using her fingers to check Eva's pulse.
Gusto kong malaman ang maitim na kababalaghan. Sinabi sa akin ang mga haylayt sa Akademiya, at interesado ako.	I'd like to hear about black magic. I was only told the highlights in the academy, and it interests me.
Gusto po ba ninyong magbayad gamit ang cash o ang kredit card?	Would you like to pay with cash or a credit card?
Habang ginagatungan ang siga, lalo lamang lumalaki ang apoy.	The more you add fuel to a bonfire, the more it the fire blazes.
Habang sinúsubukang buksán ng magnanakaw ang pintô, bigláng nagtahulan ang mga aso.	While the burglar was attempting to open the door, the dogs suddenly started barking.
Halos handa nang pumasok sa opisina ang lalaki, pero hindi pa handa ang kanyang asawa.	The man is almost ready to go to the office, but his wife is not.
Halos magkasintimbang ang orange at ang mansanas.	The orange weighs almost as much as the apple.
Hanggáng saán ang dapat kong ipangambá kapág nilagnát ang anák ko?	How worried do I need to be if my child has a fever?
Hayop ang mga kabayo at ang mga baka.	Horses and cattle are animals.
Higit nang kaunti ang dami ng mga peso para mapuno ang baso.	There are a few too many pesos for the glass to hold.
Higit nang marami ang dami ng mga tao para mapuno ang kuwarto.	There are far too many people for the room to hold.
Hinanap niya ang singsing niya nang pawang bukas ang mata.	She looked for her ring with her eyes wide open.
Hindi ko binasa ang bagong nobelang ito, kahit ang kapatid kong babae ay hindi rin.	I haven't read this new novel, and my sister hasn't either.
Hindî makabubuti ang magtangkâ ka pang baguhin ang isip niyá.	It will not be beneficial for you to still try to change his mind.
Hindî sulit ang pagsisikap ko dahil nauwî ang lahát sa walâ.	My effort was not worth it because it was all for nothing.
Huwág idaos ang pulong bago ang Oktubre.	Don't hold the meeting before October.
Huwág mong iniiwan na bukás ang pintô kasí bakâ pumasok ang mga lamók.	Don't leave the door open because the mosquitoes might get in.
Iláng tao ang nagtrabaho para itayô ang gusalì?	How many people worked to construct the building?
Iníintindí ni David ang tindahan nilá kapág walâ ang nanay niyá.	David minds their store when his mom is not around.
Isará mo ang mga bintanà at lumálakás ang hangin.	Close the windows as the wind is getting stronger.
Isará mo ang pintô kasí bakâ pumasok ang mga lamók.	Close the door because the mosquitoes might get in.
Ito ang lugar kung saan naganap ang labanan.	This is the place where the battle took place.
Kahit na ang aksidente ay anim na buwan nang nakalilipas, sumasakit pa rin ang leeg ko.	Even though the accident was six months ago, my neck still hurts.
Kapag gusto mong lokohin ang mundo, sabihin mo ang katotohanan.	When you want to fool the world, tell the truth.
Kapag nakipagkantutan ang isang babae sa unang pagkakataon, napupunit ang kaniyang hymen at siya ay dinudugo.	When a girl has sex for the first time, her hymen ruptures and bleeds.
Kapag naririnig ko ang awit na iyon, naaalala ko ang mga araw ng aking kabataan.	When I hear that song, I remember my younger days.
Kaya tinuturuan kita, upang paalalahanan ang aking sarili ano ang	kabulugan kung sinasabi ko.
Kung ano ang bigkas, iyon ang baybay.	The spelling is the way you pronounce it.
Kung ano ang puno, siya rin ang bunga.	Whatever the tree is, that is the fruit.
Kung anó ang inutang, siyá rin ang kabayarán. (a saying)	What is borrowed is what will be paid. (An eye for an eye.)
Kung bawasan ang sampû ng limá, ilán ang maiiwan?	If we take five away from ten, how many will be left?
Kung bábawasan ang waló ng tatló, ilán ang mátitirá?	If eight will be reduced by three, how many will be left?
Labis ang panunuksong ginawa mo. Umiyak tuloy ang bata.	The teasing you did was excessive. The child ended up crying.
Laging binabahâ ang kalye na itó kahit mahinà lang ang ulán.	This streel always gets flooded even with just light rain.
Lumalangoy ang batang lalaki kasama ang kanyang mga kaibigan.	The boy swims with his friends.
Ma-miss mo na ang lahát, huwág lang ang ex mo.	Miss everyone, just not your ex.
Maagap ang bata kaya hindi nahulog ang kanyang kapatid.	The child was alert so his brother didn’t end up falling.
Magkano ang ginastos mo para ipagawâ ang kotse mo?	How much did you spend to have your car repaired?
Mahirap mangyari ang posibilidád na ipápamigáy ko ang kuwintás ko.	The likelihood that I will give up my necklace is rather slim.
Mahirap tulungan ang taong di gusto ang tulong mo.	It's difficult to help people that don't want your help.
Makalipas ang iláng taón, umangát ang kaniláng pamumuhay.	After some years, their standard of living improved.
Malungkot ang bata dahil hindi niya makita ang kanyang aso.	The child is sad because she can't find her dog.
Malungkot ang lalaki at ang aso.	The boy and the dog are sad.
Mapúpuntá sa iyó ang posisyón kung gágawín mo ang iniuutos ko.	You would get the position if you did what I asked.
Marahil sa ibang sansinukob, ang mga pagkatao, at saka ang kanilang kaligiran, ay walang katawan.	Maybe in another universe, sentient beings, as well as their very environment, are incorporeal.
Marami ang matutuwâ kapág isinulong ang programa.	Many people will be happy if the program pushes through.
Marami ang nagkákasakít kapág malamíg ang panahón.	Many get sick when the weather is cold.
Marami ang natatawag pero kauntî ang napipilì.	Many are called, but few are chosen.
Masaya ang lalaki at ang aso.	The boy and the dog are happy.
Masayá ang lahát nang ganapín niyá ang kaniyáng mga tungkulin.	Everyone was happy as he fulfilled his duties.
Naapulà na ang sunog bago pa man dumatíng ang mga bumbero.	The fire was already extinguished even before the firefighters arrived.
Nag-Tagalog ang mga bisita kayâ natuwâ ang pinuno.	The leader was happy because the guests spoke Tagalog.
Nag-iba ang aming paraan sa buhay nang ipinakilala ang sibilisasyong taga-Europa.	Our mode of life has changed since the introduction of European civilization.
Nag-iba ang ating paraan sa buhay nang ipinakilala ang sibilisasyong taga-Europa.	Our mode of life has changed since the introduction of European civilization.
Naghihingalo ang buwaya at di nga natagala’y hinahanap ang pampang at	doon na lamang nautas.
Nagkaguló ang mga sundalo nang bigláng magpaputók ang mga kaaway.	The soldiers got confused when enemies suddenly opened fire.
Nagkáhiwaláy ang magkapatíd nang mamatáy ang kaniláng mga magulang.	The siblings got separated when their parents died.
Naglaro ang mga daga habang wala ang pusa.	The mice played while the cat was absent.
Naglaro ang mga daga habang wala ang pusa.	The mice played while the cat was away.
Naglaro ang mga daga habang wala ang pusa.	The mice played while the cat was gone.
Nagmukháng lumà agád ang bagong sapatos ni Anna kasí iyón ang isinúsuót niyá lagì.	The new shoes of Anna quickly looked old/worn because they're what she always wears.
Nagpápakamatáy ang ilán sa halíp na harapín ang kahihiyán.	Some opt to commit suicide rather than deal with the shame.
Nakakapagod ang gawain, pero ang sayá namin!	The task was tiring, but we had fun!
Nalúlungkót ang batà kasí nasirà ang kaniyáng laruán.	The child feels sad because his toy broke.
Nang parinig ko ang kantang iyon, isip ko ang lugar nang ako'y pinanganak.	When I hear that song, I think about the place where I grew up.
Naníniwalà ang marami na babangon ang mga patáy sa katapusán ng mundó.	Many believe that the dead will rise at the end of the world.
Napanood ko ang pelikulang iyan matagal na panahon na ang nakaraan.	I saw that film long ago.
Nasa loob ang bahay ang nanay.	The mother is inside the house.
Nasagì ni Barry ang mga pasô habang tulak ang karitón.	Barry bumped into the pots as he pushed the cart.
Nilálagnát ang tao kapág mahinà ang kaniyáng sistema ng imunidád.	A weak immune system causes a fever.
Nirerespeto ni Kay ang lahat kundi ang sarili niya.	Kay respects everyone but herself.
Parang Ruso ang Tagalog dahil karaniwang di sinusulat ang mga kudlit para sa aksento.	Tagalog is like Russian because the accent is not usually written with marks.
Pinanuod niya ang harding lumaki, at pinanuod niyang pumula at huminog ang mga mansanas.	She watched the gardens grow, and she watched the apples turn red and ripen.
Putî ang aso at ang pusà.	The dog and the cat are white.
Sa anong wika ang gusto mong makita ang mga pangalan ng hayop?	In which language do you want to see names of animals?
Sa halaw, ang orihinal ay pinaiikli upang mapalitaw ang diwang	tinataglay ng akda.
Sa larangang ng anatomiya, ang lako ay ang bahagi ng braso na nasa	kabila ng siko.
Sa sinaunang lipunang Bisaya, ang túnay ay ang pagbili sa pamamagitan	ng salapi.
Sa tingin niya ang bughaw ang pinakamagandang kulay.	He thinks that blue is the most beautiful colour.
Sa wikang Ilocano, ang kúmot ay takip sa mukha. Sa mga Waray, ang kúmot	ay sípag.
Sabi ni Goethe, "Ang sinumang di marunong ng wikang dayuhan ay di rin alam ang sariling wika."	Goethe claimed, "one who cannot speak foreign languages does not know one's own language either".
Siguro marami ang magréreklamo kapág tumaás ulî ang presyo ng gasolina.	Maybe many would complain when the price of gasoline goes up again.
Sino ang nanalo? Sino ang panalo?	Who won? Who is the winner?
Sisikat na mulî ang araw kasí tumigil na ang ulán.	The sun will shine again because the rain has already stopped.
Siyá ang dapat ang mag-adjúst.	She's the one who should adjust.
Siyá ang kumayod, pero ibá ang nakinabang.	He was the one who worked hard, but others benefited.
Sumayá ang party nang dumami ang sumayáw.	The party livened up when the dancers increased in number.
Sumásakít ang mga balikat ni Bob kapág itinátaás niyá ang kanyáng mga kamáy.	Bob's shoulders hurt when he raises his hands.
Tumakas ang ilán, samantalang pinakawalán ang ibá.	Some escaped, while others were released.
Tumindí ang polusyón sa hangin nang itayô ang planta.	Air pollution worsened when the plant opened.
Tumunóg ang kulilíng nang umihip ang hangin.	The chime created a sound when the wind blew.
Udyukán natin ang mga kakandidato na gawín ang tamà.	Let's persuade those running for office to do the right thing.
ang araw at ang buwan	the day and the month
ang araw at ang buwan	the sun and the moon
ang babae at ang aso.	a girl and a dog.
ang babae at ang kaniyang anak na babae	a woman and her daughter
ang babae at ang kaniyang aso.	A woman and her dog.
ang babae at ang kanyang asawang lalaki	a woman and her husband
ang babae at ang kanyang aso	a woman and her dog
ang babae at ang kanyang kotse	a woman and her car
ang babae at ang kanyang mga anak	a woman and her children
ang babae at ang kanyang pusa	a woman and her cat
ang babaeng may maitim na buhok at ang kaniyang maliit na aso	a dark haired woman and her small dog
ang bata kasama ang kaniyang mga magulang	a child with his parents
ang batang babae at ang babae	a girl and a woman
ang batang babae at ang kanyang kapatid na lalaki	a girl and her brother
ang batang babae at ang kanyang mga magulang	a girl and her parents
ang batang babae at ang kanyang nanay	a girl and her mother
ang batang babae at ang kanyang pamilya	a girl and her family
ang batang babae at ang kanyang tatay	a girl and her father
ang batang babae at ang kotse.	a girl and a car.
ang batang babae at ang pusa.	a girl and a cat.
ang batang lalaki at ang aso	a boy and a dog
ang batang lalaki at ang batang babae sa bangka	a boy and a girl in a boat
ang batang lalaki at ang kaniyang bisikleta.	the boy and his bisikleta.
ang batang lalaki at ang kaniyang kaibigan.	a boy and his friend.
ang batang lalaki at ang kaniyang kapatid na babae	the boy and his sister
ang batang lalaki at ang kaniyang nanay	a boy and his mother
ang batang lalaki at ang kaniyang pamilya	a boy and his family
ang batang lalaki at ang kaniyang tatay	a boy and his father
ang batang lalaki at ang kotse.	a boy and an car.
ang ilong at ang bibig	a nose and a mouth
ang inilaki, ang iniunlad	amount grown, increase
ang itim na sumbrero at ang kayumangging sumbrero	a black hat and a brown hat
ang kalma bago ang bagyo	the calm before the storm
ang karamihan, ang nakararami	the majority
ang katahimikan bago humagupit ang bagyo	the quietness before the storm rages
ang kinalalagyan ng gulo (suliranin), ang ipinagdaramdam o dinaramdam (ng isang tao)	"where the shoe pinches," sometimes means where the real trouble or difficulty lies
ang kotseng nakababa ang bubong	a convertible with the top down
ang lahat ng tao, ang buong mundo, sangkatauhan	all people, the public
ang lalaki at ang aso	a man and a dog
ang lalaki at ang babae	a man and a woman
ang lalaki at ang batang lalaki	a man and a boy
ang lalaki at ang kanyang anak na lalaki	a man and his son
ang lalaki at ang kanyang asawang babae	a man and his wife
ang lalaki at ang kanyang kapatid na babae	a man with his sister
ang lalaki at ang kanyang kapatid na babae.	a man with his sister.
ang lalaki at ang kanyang kotse	a man and his car
ang lalaki at ang kanyang pusa	A man and his cat.
ang leon at ang dagâ	the lion and the mouse
ang mag-asawa at ang kanilang anak na babae	a married couple and their daughter
ang magiging asawa, ang mapapangasawa, nobyo/a	an intended husband or wife (coll)
ang magkapatid na babae at lalaki at ang kanilang nanay	a sister and brother and their mother
ang magkapatid na babae at lalaki hindi kasama ang kanilang mga magulang	a sister and a brother without their parents
ang magkapatid na babae at lalaki kasama ang kanilang mga magulang	a sister and brother with their parents
ang malaking bola at ang maliit na bola	a big ball and a small ball
ang malaking gulong at ang maliit na gulong	a big wheel and a small wheel
ang may panukala, ang nagpanukala	a person who is responsible for another person or things
ang mga karaniwang tao, ang mga karaniwang mamamayan, ang mga manggagawa, karaniwang mamamayan	"the masses" sometimes means the "common people"
ang mga magulang at ang kanilang anak na babae.	parents and their daughter
ang mga magulang at ang kanilang anak.	parents and their child.
ang mga magulang at ang kanilang mga anak na lalaki.	parents and their sons
ang mga magulang at ang kanilang mga anak.	parents and their children
ang mga peryodista, ang mga mamamahayag	the people who run the newspaper
ang nahihiling, ang napipita, ang napipithaya	the state of being desired or sought after
ang nanay at ang kaniyang anak na babae	a mother and her daughter
ang nanay at ang kaniyang anak na lalaki	a mother and her son
ang nanay at ang kanyang sanggol	a mother and her baby
ang natira, ang iba	what is left, remaining
ang pinaghalo (pinaglahok), ang magkahalo (magkakahalo), timpla, timplada, tinimpla model a small copy	what has been mixed
ang pinakamalaki, ang pinakamarami adv. in or to the greatest extent	the greatest number, amount, etc.
ang pulis at ang kanyang kotse.	a police officer and his car.
ang puno at ang mga dilaw na bulaklak	a tree and yellow flowers
ang pusa at ang kotse	a cat and a car
ang pusa ng batang lalaki na hindi kasama ang batang lalaki	the boy's cat without the boy
ang sarili, ang kanyang sarili	his own self
ang tatay at ang kanyang anak na babae	a father and his daughter
ang tatay at ang kanyang anak na lalaki	a father and his son
ang tatay at ang kanyang mga anak	a father and his children
ang teacher ang babae	the woman is the teacher
ang unggoy at ang buwaya	the monkey and the crocodile
ano ang dapat kong gawin upang matigil ang pagkahiya?	what should I do to stop feeling shy?
hindi isinasaloob ang ginagawa, wala sa loob ang ginagawa	not thinking or watching what one is doing
ikaw ang bahala kung ano ang gusto mong gawin	it's up to you as what you want to do
lálo: pangunahan ang iba sa kung ano ang ginagawâ, at dito nagmula ang	palálo na binibigkas ngayong palalò
maaari ko bang makita ang nabili mo, kabilang na ang resibo?	may I see what you bought, including the receipt?
magkubli (maglihim) ng nasa sa loob (ng nararamdaman, ng damdamin), ikubli (ipaglihim) ang nasa sa loob (ang nararamdaman, ang damdamin), magkuyom ng damdamin, kuyumin ang damdamin	to hide ones feelings
magpahalata ng linoloob (ng nararamdaman, ng damdamin), ipahalata ang linoloob (ang nararamdaman, ang damdamin)	to show ones feelings
magpalakas ng loob, lakasan (laksan) ang loob, tibayan ang loob	to gather up courage
magpasakit, pasakitan, magpasama ng loob, pasamain ang loob, sumugat ng kalooban (damdamin), sugatan ang kalooban	to afflict with mental suffering
mahal, ang minamahal, irog, ang iniirog, sinta, ang sinisinta	a person who is loved
malaki ang mata, madidilat ang mata	big-eyed, wide-eyed
mga salitang pareho ang baybay pero magkaiba ang kahulugan	words with the same spelling but different meanings
mungkáhi: sa sikolohiya, ang pagpapahiwatig na isakatuparan ang isang	paniniwala ; o ang paniniwalang ito
nakilala ko ang nanay mo pati na rin ang kapatid mo	I met your mother and your brother as well
paborito niya ang pagkaing pilipino, lalo na ang adobo at caldereta	she loves filipino food, namely adobo and caldereta
pakiramdamAn (ang?) maging komportable ang palIgid mo	feel more comfortable around you
sa anumang mangyari, kahit ano ang mangyari, ano man ang mangyari, kaipala	by any possibility, no matter what happens
talíno: tao na matalas ang pag-iisip; o ang kolektibong pangkat ng mga	ito
tambáng:ang patibong o ang tao na naghihintay sa hayop na papasok sa	patibong
tumahimik, pumayapa, humupa, pumanatag, lumamig ang ulo, maglubag ang loob, tumiwasay	to be or become calm according to meanings above
Íintindihín mo rin ang sarili mo at huwág lagì na lang ang pamilya mo.	You should also attend to your needs and not always just that of your family.
