Saán kamí puwedeng magbayad?	Where can we pay?
Pwede mong utusan si Paul kung may kailangan ka.	You may ask Paul to do your errands / should you need anything.
Inihahandâ ko na ang sarili ko sa puwedeng mangyayari.	I am already preparing myself for what might happen.
Huwág mong tinítiís kung pwede mo namáng iwasan.	Don't put up with it if you can avoid it.
Hahanap akó ng puwedeng ipalít dito.	I will look for something to replace this with.
Hanggáng anóng oras puwedeng ipasa ang application form?	Until what time may the application form be submitted?
Huwág kayóng mag-away kasí pwede namáng mapag-usapan iyán nang maayos.	Don't quarrel because that is something that may be settled amicably by talking
Namilì kamí ng mga lumang damít na pwede na nating ipamigáy.	We chose from our old clothes those that we may already give away.
Puwede mo bang sabihin sa akin ang deskripsyón ng krimén?	Can you give me the description of the crime?
Puwede kang pumaroon.	You may go there.
Hindi ako pwede ngayon.	I can't right now.
Puwede mong gawin iyan.	You're allowed to do that.
Puwede ang anumang libro.	Any book will do.
Puwede bang magdutsa ako?	May I take a shower?
Hindi ka pwedeng humindi.	You can't say no.
Puwede ba akong umuwi na?	May I go home?
Puwede ba kitang kausapin?	May I talk to you?
Pwede rin ba akong sumama?	Can I come too?
Pwede na isang libong yen.	A thousand yen will do.
Puwede kang mag-aral dito.	You can study here.
Pwede mo ba akong tulungan?	Will you please help me?
Puwede mo bang ulitin iyon?	Can you say that again?
Pwede mo ba akong tulungan?	Can you possibly help me?
Puwede mo bang tawagan siya?	Can you call him?
Pwede mo bang mapa-ayos iyan?	Can you get it repaired?
Ano pang pwede ninyong gawin?	What else can you do?
Di ka puwedeng lumangoy dito.	You can't swim here.
Saan puwedeng mamili ng libro?	Where can one buy books?
Pwede ko bang buksan ang ilaw?	May I switch on the light?
Puwede bang patayin mo ang TV?	Could you turn off the TV?
Pwede bang huwag mo gawin iyan?	Would you mind not doing that?
Puwede kang umuwi kung gusto mo.	You can go home if you want to.
Pwede kong hawakan ang buhok mo?	Can I touch your hair?
Di niya puwedeng sinabing ganoon.	She can not have said such a thing.
Hindi ka nila pwedeng sisantehin.	They can't fire you.
Hindi akong pwede kumain ng karne.	I can't eat meat.
Puwede bang akin na itong magasin?	May I have this magazine?
Puwede ko bang buksan ang bintana?	Can I open the window?
Sino ang may gusto, pwedeng kumuha.	Whoever wants it may take it.
