# part 96
ano sa palagay mo?	what do you think?
Hinahangaan kita sa ginawa mo.	I admire you for what you did.
Talagang pinapahalagahan ko ang iyong tulong.	I really appreciate your help.
Sana ay bumalik ka kaagad.	I hope you will come back soon.
Sige, aalis na ako.	All right, I am leaving.
Huwag kang mag-alala.	Don't worry.
Wala akong masasabi.	I have nothing to say.
Wala akong ideya sa bagay na yan.	I have no idea on that matter.
Masasayang lang ang oras mo.	You will just be wasting your time.
Pasensiya na, hindi kita matutulungan.	Sorry, I can't help you.
Hintayin mo ako doon.	Wait for me there.
Huwag kang umalis.	Don't leave.
Sa palagay ko tama ka.	I think you are right.
Hindi ako makakarating.	I will not be able to come.
Siya ay laging huli.	He is always late.
Pasensiya na at nahuli ako.	I'm sorry for being late.
Sandali lang at nandiyan na ako.	I will be there in a moment.
Sabihin mo sa akin kung ano ang gusto mo.	Tell me what you want.
Sabihin mo sa akin.	Tell me about it.
Hindi ako sigurado.	I am not sure.
Ngayon ko lang ito nakita.	I have just seen it.
Matututo rin ako.	I will also learn.
Gagawin ko ang sinabi mo.	I will do as you say.
Tapos na ang ginagawa mo.	I have done what I am doing.
Gawin mo muli.	Just do it again.
Sinayang mo ang pagkakataon.	You wasted the opportunity.
Kaya mo yan.	You can do it.
Balitaan mo ako.	Let me know.

# part 92
MagpAhingA ka naman.	Have a rest.
Mamaya ka na lang umalis.	Perhaps you can leave later.
PabayAan mo na siya.	Leave him alone.
Paki bigay mo sa kanya.	Please give it to her.
Hindi ako magtAtagal.	I won't take long.
Malapit na akong matapos.	I will finish soon.  (Soon I finish.)
Maniwala ka sa akin.	Believe me.  (Believe you to me.)
Hindi maganda and pakiramdam ko.	I don't feel well.
Sana maintindihan mo.	I hope you will understand.
Ako ay maysakIt.	I am ill.
Magpagaling ka agad.	Get well soon.
Kailangan nating mag-usap.	We need to talk.
MalakI ang naitulong mo sa akin.	You have helped me a lot.
Napaligaya mo ako.	You made me happy.
Sobra ang bait mo.	You are so kind.
Ipaalala mo sa akin.	Remind me.
Sana sundin mo ang payo ko.	I hope you will follow my advice.
Gagawin ko ang aking makakaya.	I will do my best.
Ako ang nagsabi sa kanya.	I was the one who told her.
Alam ko ang gagawin ko.	I know what to do.
Siya ang may alam.	She knows.
Wala siya alam.	She knows nothing.
Kailangan mong malaman.	You need to know.
Subukan mong unawain.	Try to understand.
Masaya ako para sa iyo.	I am happy for you.
Tama pala ako.	I was right.
Halika, mag-usap tayo.	Come on, let's talk.
Kailangan kong malAman ang dapat gawin.	I need to know what to do.
Pupunta ako sa bangko mamaya.	I will go to the bank later.
Nakakatawa ang nangyari.	What happened was funny.
Masaya ako sa nangyari.	I am happy with what happened.
Ang nangyari kahapon ay hindi inaasahan.	What happened yesterday was not expected.


# part 44
pamInsan-mInsan	once in a while
nakikIta ko siya pamInsan-mInsan	I see him once in a while
paUlit-Ulit	repeatedly
paUlit-Ulit ko siyAng tinAwag	I called him repeatedly
sumAsang-Ayon	agreeing
sumAsang-Ayon ako sa bAlak mo	I am agreeing with your plan
kAmakailAn	recently
nanggAling siya dito kAmakailAn	he was here recently
kabIlang	included
siya ay kabIlang sa mga nanAlo	he was included among the winners
Ayaw	unwilling
Ayaw kong pumuntA duOn	I don't want to go there
karamIhan	most
karamIhan sa mga bAta ay matalIno	most kids are smart
katUlad	similar
ang hinahAnap ko ay katUlad mo	I am looking for someone like you
kalokOhan	silliness
marami siyang ginAgawAng kalokOhan	he is doing a lot of silliness
salamat sa inyong panunoOd	thank you for watching

# part 79
dalubhAsa	expert
sagAna	abundant
kaAgaw	rival
umIral	existed
masigAsig	enthusiastic
pagkukUsa	initiative
maunlAd	progressive
kaAkit-Akit	attractive
reklAmo	complain
marangAl	honorable
detAlye	detail
kUlang	inadequate
kurIpot	stingy
mapAgbigAy	generous
namanghA	amazed
kungsabAgay	as a matter of fact
lalawIgan	province
kahilIngan	request
lIhim	secret
mensAhe	message
kApakanAn	welfare
karanIwan	common
pangambA	fear
masAhol	worse
nasagIp	rescued
sukdUlan	utmost
nilAlamAn	content(s) (n)
sa wakAs	at last
kumIkinang	sparkling
lumulUtan	floating
subUkan	try
samantAla	meanwhile
patawArin	forgive
kagAlang-gAlang	respected
siksIkan	pack
sukAtin	measure
maUnawaIn	understanding
mAsunUrin	obedient

# part 76
maaliwAlas	clear
maaliwAlas ang panahon ngayon	today's weather is clear
makulimlIm	cloudy
magIging makulimlIm ang panahon bukas	the weather tomorrow will be cloudy
karanIwan	usually
karanIwan sa mga pilipino ay masayAhin	filipinos are usually happy people
mapAgpakUmbabA	humble
mapAgpakUmbabA	she is a humble person
tulAran	imitate
kabutIhan	goodness
tularan natin ang kabutihan ng ating magulang	let us imitate the goodness of our parents
dayuhan	foreigner
naging masaya ang mga dayuhan sa pagbisita sa pilipinas	the foreigners enjoyed visiting the philipppines
kahit saan	everywhere
mag-ingat kahit saan ka man magpunta	be careful everywhere you go
in	com	plete!!!!!!

# part 57
kung sa bagay	as a matter of fact
malakI ang kanilang bahay kung sa bagay mayaman sila	they have a big house, as a matter of fact they are rich
gayOn pa man	however, nevertheless
siya ay malungkot, gayOn pa man, siya ay nakangiti pa rin	he is sad, however he can still smile
madaLAs	often, frequently
madaLAs siyang dumAlaw sa akin	
kadaLAsan	usually
kadaLAsan maraming mga tao sa palengke	usually there are a lot of people in the market
karagDAgan	additional, extra
may karagDAgan na kaaLAman sa pAgbabaSA	you gain additional knowledge by reading
maDAlang	seldom
maDAlang ko siyang maKIta	I seldom see her
sang-Ayon	agree
sang-Ayon ang tAtay sa panukAla ng nAnay	the father agreed to the proposal of the mother
malaMAng	probably
malaMAng ay Uulan mamayA	probably it will rain later
pahiWAtig	hint, inkling
may pahiWAtig siya na hindI na siya bAbalIk	he gave an inkling that he is not going to come back
tungkOl	about
huwag pag-usApan ang tungkOl sa buhay ng ibA	don't talk about the life of others
paliwAnag	explanation
kailAngan mo ang kanyAng paliwAnag	you need his explanation
salamat sa inyong panonoOd	thank you for watching

# part 35
mga masamAng ugAli	bad character traits
tamAd	lazy
bastOs	rude, impolite
mAkasarilI	selfish
tsismOsa	gossiper/eavesdropper
tsismOso	gossiper/eavesdropper
matAkaw	greedy
pabayA	negligent
mapAgmalakI	proud, snob
mayAbang	conceited, arrogant
malupIt	cruel
selOso	jealous
selOsa	jealous
magagalitIn	short tempered
agresIbo	aggressive
lasEnggo	drunkard
lasEngga	drunkard
matigAs ang ulo	stubborn
kurIpot	stingy
walang konsiderasyOn	inconsiderate
sumpUngin	moody
palautOs	bossy
hindi maAasAhan	unreliable
manlolOko	cheater
masElan	fussy
mapAng-angkIn	possessive
hindi mapapagkAtiwalAan	dishonest
walAng kaAyusAn	untidy
mareklAmo	nagger
nakakaInis	annoying
walang tiyagA	impatient
duwAg	coward
walAng Ingat	careless

# part 58
mga masamAng ugAli	bad character traits
mapagsamAntalA	opportunist
pabiglA biglA	impulsive
inggetEro	envious
inggetEra	envious
ipOkrito	hypocrite
ipOkrita	hypocrite
mapAgkunwarI	hypocrite
suplAdo	snob
suplAda	snob
malupIt	unkind
mAsamA	mean
manlolOko	deceitful
walAng pakialAm	aloof
sakIm	greedy
walang pakundAngan	inconsiderate
dominAnte	domineering
mapAng-angkIn	possessive
mapAnghusgA	judgemental
sObrang mapanUri	overly critical
walAng pagpApahalagA	thoughtless
hanggang sa mulI	until next time..

# part 80
nasAyang mo lang	you have wasted it
magtiwAla ka sa akin	trust in me
tAma ka	you are right
tumIgil ka na	you have to stop
kayA pala	that is why
biro lang	just kidding
sige na nga	alright
ayAn ka na namAn	there you go again
grAbe ka	you are terrible
ako pa ba?	do you mean me?
sinabi mo pa	you do not need to say it
sige na	go ahead
akAla mo lang yan	you just imagined it
matuwA ka na lang	just be happy
kAya mo yan	you can do it
kAya mo ba pa?	can you still do it?
kUlang pa ba?	is it not enough?
lilIpas din yan	it will pass
nakAkainIs ka naman	you are so annoying
huwag mo na lang isIpin	don't think about it
gawIn mo ang gusto mong gawIn	do what you want to do
iba ka	you are different
pabayAan mo na	let it be
hAla ka	you are in trouble
huwAg kang istUrbo	don't disturb me
madalAs mangyAri	it often happens
samAntalahIn ang pagkakAtaon	take advantage of the opportunity
iwAsan mo	avoid it
alAm mo yan	you knew that
oo naman	of course
pag-usApan natin	let's talk about it
siyangA pala	by the way
ano pA?	what else?
saan pa ba?	where else?
sino pa?	who else?

# part 81
kusang loob	voluntarily
siya ay kusang loob na sumama	he came along voluntarily
sinadya	intended
sinadya niya na dumating ng maaga	he intended to come early
malamang	probably
malamang na magalit ang kaibigan mo	your friend will most probably get angry
pakiramdam	feeling
masama ang kanyang pakiramdam	he is not feeling well
manghimasok	interfere
huwag manghimasok sa problema ng iba	don't interfere with other people's problems
sari-sari	assortment
sari-sari ang kanyang nabili	he bought an assortment of items
sobra	too much
sobra and kanyang kinain	he ate too much
nagulat	surprised
nagulat ako sa kanyang pagdating	I was surprised when he arrived
matamlay	listless
dumating siyang matamlay	he was listless when he arrived
kunwari	pretend
magaling siyang magkunwari	he is good in pretending
sabay-sabay	simultaneously
sabay-sabay silang nagsalita	they talked simultaneously
magpasiya	decide
magpasiya ka kung ano ang gusto mong gawin	decide what you want to do
akala	presumption
mali ang kanyang akala	his presumption was wrong
malasakit	concern
siya ay may malasakit sa kanyang kalusugan	he is concerned about his health
kamangha-mangha	amazing
kamangha-mangha ang kanyang nagawa	what he did was amazing
kakatwa	strange
kakatwa ang kanyang ikinikilos	he is acting strange
ipaliwanag	explain
ipaliwanag mo sa kanya ang nangyari	explain to him what happened
magsikap	strive
magsikap upang magtagumpay	strive to be successful

# part 83
Gusto mo bang sumama sa amin para maghapunan?
Would you like to join us for dinner?

handa ka na bang umalis?
are you ready to leave?

pwede bang hintayin mo ako?
will you wait for me?

saan tayo magkikita?
where will we meet?

mayroon ka bang gustong inumin?
would you like to drink anything?

mayroon ba akong pwedeng ikuha para sa iyo?
is there anything I can get you?

pwede bang ikuha mo ako ng isang basong tubig?
can you get me a glass of water?

sa palagay mo nakalimutan niya?
do you think he has forgotten it?

may nakalimutan ka ba?
did you forget something?

nasaktan ka ba?
are you hurt?

nasaktan ba kita?
did I hurt you?

niloloko mo ba ako?
are you kidding me?

seryoso ka ba?
are you serious?

saan ang malapit na botika dito?
where is the nearby pharmacy here?

mayroon ka bang magagawa tungkol dito?
is there anything you can do about this?

pwede bang ituloy natin ang trabaho bukas?
can we continue the work tomorrow?

napanood mo ba yung palabas kagabi?
did you watch the show lat night?

mayroon ka bang idea?
do you have any idea?

may magagawa ka ba?
can you do something?

ano ang gagawin mo?
what will you do?

may sinabi ka ba?
did you say something?

may tanong ka ba?
do you have any question?

pwede ba tayong mag-usap?
can we talk?

maaari mo bang ipakilala ang iyong sarili sa mga panauhin?
will you introduce yourself to the guests?

naging masaya ba ang iyong bakasyon?
did you enjoy your vacation?

masaya ba silang kasama?
are they fun to be with?

matagal mo na ba siyang kilala?
have you known him for long?

nakapunta ka na ba sa kanila?
have you been to their place?

alam mo ba ang gagawin mo?
do you know what to do?

ano ang gagawin ko?
what shall I do?

kailan tayo magkikita muli?
when will we see each other again?

# part 24
bahAla na	whatever will be will be
sAyang naman	what a waste
di ba?	right?
ganon?	really?  Is that so?
bahAla ka	it's up to you
siyangA palA	by the way
huwAg na lang	nevermind
talagA?	really?
arAy!	ouch!
bAstos ka	you're rude
sorry na	I'm sorry
galIt ako	I am mad
galIt ka ba?	are you mad?
halIka dito	come here
ayOko	I don't want/like
halIka nA	let's go
tApos na	finished
ikAw na sAna	I hope it's you
bAwal	not allowed
bAkit ba?	why?
sarAdo	closed
sarAdo nA	already closed
sigUro nga	maybe
bakA ikaw	maybe it's you
ikaw na nga	you are the one
tAyo na sAna	I hope it will be us
maligAyang pag-aAral ng TagAlog sa lahAt	enjoy learning Tagalog everyone
