Siyá si Jane.	She is Jane.
Kumakanâ siyá kayâ siyá nananalo.	She does her best that's why she wins.
Tinalikuran ko siyá.	I turned my back on her (going the opposite direction).
Niyakap ko siyá nang mahigpít.	I hugged her tightly.
Hindî tayo makákapasok kasí nakakandado siyá.	We won't be able to get in because it's locked / padlocked.
Nakuntento ba siyá sa pagkain?	Was he satisfied with the food?
Siyá ang tumalo sa dating kampeón.	He is the one who defeated the former champion.
Manánatili siyá roón hanggáng sa Lunes.	He will stay there until Monday.
Isinugód si Chloe sa ospitál nang makaramdám siyá ng hilo.	Chloe was brought to the hospital when she felt light-headed.
Binábaríl siyá pero hindî siyá tamaan.	They were shooting at him, but they couldn't hit him.
May kakilala akóng nagyabáng na mayaman siyá.	I've known someone who boasted that she was rich.
Hahaluin mo siyá nang dáhan-dahan.	You should stir it slowly.
Itátanggí mo bang mahál mo siyá.	Will you deny that you love him?
Nagháhanáp siyá ng makákatulong sa kaniyáng magsaka.	He's looking for someone who will help him with farming.
Nagbigáy siyá ng donasyón para itayô ang páaralán.	He donated to build the school.
Siyá ang polítikó na tunay na nais maglingkód at mamunò.	She's the politician who really wants to serve and lead.
Nanatili siyá sa akin at ipinaglaban ang pagmamahalan namin.	She stood by me and fought for our love.
Uurong si Felicia at labis siyáng mapápahiyâ.	She will withdraw and will be utterly put to shame.
Nakalayà siyá ngunit hindî niyá mapatawad ang mga dumakíp sa kaniyá.	She was freed but she couldn't forgive her kidnappers.
Saán ninyó siyá yayayain?	Where to will you invite him to join you?
Taksíl siyá kasí sa kalaban siyá kumampí.	He is a traitor because he sided with the enemy.
Nag-iingat siyáng hindî makasakit ng ibá.	She's careful not to hurt others.
Siyá ang mangunguna sa kaniláng proyekto.	She will take the lead in their project.
Nagwagî siyá ng Emmy para sa pagganáp sa karaktér ng killer na si Andrew Cunanan sa "American Crime Story."	He won an Emmy for his performance of the kill Andrew Cunanan in "American Crime Story."
Madalî siyáng nakabawì mulâ sa pagkabigo.	She recovered quickly from setbacks.
Siyá ang nagsagawâ ng mga plano ng organisasyón.	He was the one who carried out the plans of the organization.
Masayá siyá nang idaos nilá ang kaniláng anibersaryo.	He was happy when they celebrated their anniversary.
Hindî pa siyá naáaresto.	He hasn't been arrested yet.
Magdádaán siyá sa isáng malakí at biglaang pagbabago.	He will undergo a big and sudden change.
Magsasaka na lang daw siyá.	He said he would just cultivate a piece of land.
Bigyán siyá ng puwáng sa pamilyang hindî niyá kinabilangan noón.	Give him a place in the family he didn't belong to before.
Madalî siyáng mágising.	He's a light sleeper.
Tinagurián siyáng "Boy" ng klase.	The class nicknamed him "Boy."
Bakâ patáy na yung dagâ kasí hindî na siyá gumágaláw.	Maybe the rat is already dead because it is not moving anymore.
Hindî siyá namumunò sa paraáng gustó ko.	He's not leading the way I want.
Natuwâ siyá nang tagurián siyá bilang pinakamahusay na aktrés.	She was happy when she was named as the best actress.
Siyá na ang súsunód na sasabak sa entablado.	He's the next one to go on stage.
Siyá ang reynang tumalo sa mga kaaway.	She was the queen who defeated the enemies.
Nagulat akó nang kumpirmahín niyáng siyá ang maysala.	I was shocked when he confirmed that he was the perpetrator.
Nanatili siyáng dalaga kasí takot siyáng magpakasál.	She remained single because she's afraid to get married.
Gumagamit siyá ng GPS para hindî siyá maligáw.	He uses GPS so he won't get lost.
Natuklasán mo ba kung siyá ay nagkasala?	Did you find out if he was at fault?
Nandito sana si Roda, dahil magseselos talagá siyá!	I just wish Roda was here, because she would be so jealous!
Nakákasama ko na siyá sa mga proyekto.	I've been with him in projects.
Nagpápahayág siyá ng kaniyáng katapatan sa asawa.	He's declaring his loyalty to his wife.
Umiyák siyá nang mapuntá sa kampo ng sápilitáng pagtátrabaho.	She cried when she was sent to a forced labor camp.
Nahíhirapan siyáng umintindí ng Inglés.	She's having difficulty understanding English.
Siyá ang nagpatakbó ng páaralán at nahirapan siyá rito.	She was the one who ran the school and it was hard for her.
Saán mo siyá pinaupô?	Where did you tell him to sit? / Where did you make him sit?
Maaaring magdaán siyá sa isáng delikadong proseso.	She may undergo a dangerous process.
Magtátapós na siyá sa pagiging binatà.	He'll soon graduate from being a bachelor.
Pinangunahan ko siyá para hindî siyá masyadong magalit.	I forewarned him so he won't get so angry.
Magpápahayág si Elton na siyá ang kaaway.	Elton will announce that he is the enemy.
Matátamó ni Nicole ang kapanatagan ng loób kung magpápatawad siyá.	Nicole will achieve peace of mind if she forgives.
Minsan siyáng tinagurián bilang pinakamabilís na babae sa Asya.	She was once hailed as the fastest woman in Asia.
Nágulungan siyá ng kotse.	The car ran over her.
Hindî na siyá naulit ng pagpuntá dito.	He did not anymore come here again.
Akalà ko bibisita lang si Ann sa kapatíd niyá sa America. Hindî ko alám na tuluyan na palá siyáng doón títirá.	I thought Ann was just going to visit her sibling in America. I did not know that she would already live there eventually.
Nagtátagál si Alice ng mga tatlóng buwán sa America kapág pumúpuntá siyá doón.	Alice stays for about three months in America when she goes there.
Walóng taón siyáng inalagaan ng lola niyá.	Her grandma took care of her for eight years.
Naghintáy kamí kay Mike hanggáng tanghalì pero hindî siyá nagpakita.	We waited for Mike till noon but he did not show up.
Malakí ang itinaás ng anák ni Nora mulâ nang hulí ko siyáng nakita.	Nora's son has grown much taller since the last time I saw him.
Lumakás ang boses ni Jim nang nagalit siyá kay Tom.	Jim's voice became louder when he got mad at Tom.
Pagágalitan si Anna ng tatay niyá kapág ginabí siyá nang uwî.	Anna will be scolded by her dad if she gets home very late.
Pinagalitan si Peter ng amo niyá kasí tanghalì na siyáng pumasok.	Peter was reprimanded by his boss because I arrived at the office quite late.
Pinagsásabihan siyá ng tatay niyá pero ayaw niyáng makiníg.	His father admonishes him but he just won't listen.
Naíiyák si June habang nagpápaalam siyá sa kaniyáng pamilya.	June was teary-eyed while saying goodbye to her family.
Nabanggít nga pala ni Alice na bakâ hindî siyá makapuntá sa kasál mo.	By the way, Alice mentioned that she may not be able to go to your wedding.
Kinilíg si Anna nang hinawakan siyá sa kamáy ng crush niyá.	Anna felt a tingle of excitement when her crush held her hand.
Nakákapuntá lang si Nora sa sementeryo kapág may kasama siyá.	Nora is only able to go to the cemetery when she has somebody with her.
Tinitigan ko siyá para siyá tumahimik.	I stared / glared at her for her to shut up.
Madalás nahúhulí sa klase si Richard kasí nanggagaling pa siyá sa malayò.	Richard offen arrives late for class because he still comes from far away..
Inamin ba ni Sam na siyá ngâ ang gumawâ nun?	Did Sam admit that he was really the one who did it?
Haluin mo ang sopas habang siyá ay kumukulô.	Stir the soup while it is boiling.
Sásayá siyá kapág nalaman niyáng may regalo ka (para) sa kaniyá.	She will be happy when she finds out that you have a gift for her.
Hindî kinaya ni Charles ang lamíg sa Alaska kayâ lumipat siyá sa California.	Charles could not endure Alaska's cold temperaure that's why he moved to California.
Marami nang babaeng nabúbuntís si Jack pero walâ siyáng pinápakasalán sa kanilá.	Jack had gotten many women pregnant but he has not married any of them.
Langisán mo ang mga bisagra ng pintô para hindî siyá tumunóg.	Oil the door's hinges so it won't make a sound.
Waláng manliligaw kay Vicky kasí sobrang suplada siyá.	No one would court Vicky because she's very snobbish.
Magpápakasál ka na ba kay Tom kahit na isáng buwán mo pa lang siyá nakíkilala?	Would you already marry Tom even if you've just known him for only a month?
Nagbakasyón si Maria sa Amérika pero iláng araw pa lang ang nakákalipas umuwî na siyá.	Maria went to America for vacation but just after a few days she already came back home.
Nakákapasok ka ba sa opisina ng boss mo kahit walâ siyá?	Do you have permission to go inside the office of your boss even if he's not around?
Ipáliwanag mo itó sa amin kasí hindî namin siyá maintindihán.	Explain this to us because we can't understand it.
Malayò sa atin si Richard kayâ kailangan mo siyáng sigawán para mariníg ka niyá.	Richard is far from us that's why you need to yell at him for him to hear you.
Bastá ibinigáy niyá itó sa akin at hindî siyá nagpakilala.	He just gave this to me and did not introduce himself.
Bábantayán mo ang batà kapág nakikipaglarô siyá sa aso.	You should watch over the kid when he's playing with the dog.
Sigurado akóng pagbíbigyán ka ni Vincent kasí mabaít siyáng tao.	I'm sure Vincent will oblige you becuse he's a kind person.
Walâ siyáng pinagbíbigyán, batà man o matandâ.	He does not give consideration to anyone, whether young or old.
Títiyakín ko kay Susan kung sasama siyá sa atin.	I'll verify with Susan if she is going with us.
Iyán ang madalás na tinútugtóg ng lola ko sa violin nung buháy pa siyá.	That's why my grandma often used to play on the violin when she was still alive.
Mga isáng oras nang nagsásayáw si Jill pero mukháng hindî pa rin siyá napapagod.	Jill has been dancing for about an hour now but she does not seem tired yet.
Kakalungin ko na lang ang pakwán para hindî siyá gumulong sa loób ng kotse.	I will just hold the watermelon on my lap so it won't roll inside the car.
Hindî siyá marunong humawak ng pera.	She doesn't know how to handle her finances well.
Umiinit ang ulo ni Paul kapág natatalo siyá sa sugál.	Paul becomes ill-tempered when he loses at gambling.
Papúpuntahín ka ba ng asawa mo dito nang hindî siyá kasama?	Would your husband allow you to come here without him?
Sundan siya.	Follow him.
Nawala siya.	She disappeared.
Tumakbo siya.	He did run.
Tumakbo siya.	He ran.
Nabulag siya.	She went blind.
May aso siya.	He has a dog.
Type ko siya!	He is my type!
Ngumiti siya.	She smiled.
Hablutin siya.	Grab him.
Masungit siya.	He is cranky.
Kukunin ko sya.	I'll take him.
Nakita ko siya.	I saw him.
